u,v,key,osmid,oneway,name,highway,reversed,length,ebc,vulnerability,lanes,geometry,maxspeed,bridge,ref,junction
1446670989,3178889265,0,312071905,True,Rua Professor Waldemar Ramos,residential,False,24.064,0.00314693769493909,0.9997637354830284,,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",,,,
1446671002,2143249780,0,132121238,True,Avenida Doutor Amin Simão,tertiary,False,38.96,0.002518051010337126,0.9998227736380983,,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",60,,,
1446671002,1446674016,0,312071894,True,,tertiary_link,False,46.416000000000004,0.0023764999220819705,0.9999316084893969,,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",,,,
1446671007,1453987215,0,312071903,True,Avenida dos Astronautas,secondary,False,130.267,0.17395506585135442,0.9972472318126836,,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",60,,,
1446671010,4453703041,0,448342048,True,Avenida dos Astronautas,secondary,False,41.732,0.028288250125946875,0.9997360649578438,,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",60,,,
1446671010,4453703042,0,885507245,True,Rua Raul Franco Martins,residential,False,52.384,0.00396058996729092,0.9996685037237296,,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",,,,
1446671013,3178886355,0,132120725,True,,secondary_link,False,70.983,0.013407485325437639,0.9993890175711964,,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",,,,
1446671013,1446748353,0,312071892,True,Avenida Brigadeiro Faria Lima,tertiary,False,47.435,0.018883045036621478,0.9995072204843204,,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",60,,,
1446671015,1453969499,0,132113622,False,Rua Avião Ipanema,residential,False,87.42,0.008077200416578076,0.9982434455186842,,"LINESTRING (-45.8612975 -23.203508, -45.8606957 -23.2029493)",,,,
1446671015,1453969576,0,448342028,True,Avenida dos Astronautas,secondary,False,177.45100000000002,0.10701848188303645,0.9972517137615472,,"LINESTRING (-45.8612975 -23.203508, -45.8613666 -23.203219, -45.8614599 -23.2028635, -45.8616347 -23.202485, -45.8618354 -23.2021928, -45.8619612 -23.2020581)",60,,,
1446671018,1453987139,0,310701931,False,Rua Orion,residential,False,93.618,0.022873433080582026,0.9970758797520253,,"LINESTRING (-45.8605262 -23.2055917, -45.8599962 -23.204905)",,,,
1446671018,3161589327,0,448342052,True,Avenida dos Astronautas,secondary,False,21.834,0.1488589233402935,0.9988287409276532,,"LINESTRING (-45.8605262 -23.2055917, -45.8605868 -23.2055426, -45.8606704 -23.2054477)",60,,,
1446671019,1446671010,0,448342025,True,Avenida dos Astronautas,secondary,False,40.392,0.03225403462858661,,,"LINESTRING (-45.8636959 -23.2003589, -45.8639063 -23.2000514)",60,,,
1446671022,1454044978,0,132121716,False,Rua Chackler Elhage,residential,False,59.529,0.0010591524383015735,0.9987636872834142,,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",,,,
1446671022,1454044940,0,312071903,True,Avenida dos Astronautas,secondary,False,55.304,0.059908589574289295,0.9973417862776809,,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",60,,,
1446671027,1446670972,0,772037051,True,Avenida dos Astronautas,secondary,False,66.198,0.07566942512984275,,,"LINESTRING (-45.8656856 -23.1955056, -45.8658229 -23.1949238)",60,,,
1446671028,1446671007,0,312071903,True,Avenida dos Astronautas,secondary,False,104.46100000000001,0.06182560773410016,,,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",60,,,
1446671028,1454006732,0,312091236,True,,secondary_link,False,34.324999999999996,0.04586560578963562,0.9989860559238545,,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",,,,
1446674016,1446748375,0,312071895,True,,unclassified,False,48.37700000000001,0.005506207469741833,0.999875306323708,,"LINESTRING (-45.8558953 -23.2227214, -45.8558473 -23.2226931, -45.8558019 -23.2226446, -45.8557707 -23.2225877, -45.8557572 -23.2225252, -45.8557623 -23.2224616, -45.8557856 -23.2224016, -45.8558256 -23.2223495)",,,,circular
1446674017,8167146377,0,132121239,True,Avenida Doutor Amin Simão,tertiary,False,50.338,0.0031712638304503666,0.9995915997130211,,"LINESTRING (-45.8561454 -23.2227145, -45.8561609 -23.2228276, -45.8561946 -23.2230263, -45.8562257 -23.2231609)",60,,,
1446674017,2143249780,0,448352067,True,,unclassified,False,11.127,0.020237909718975638,0.9998210422139219,,"LINESTRING (-45.8561454 -23.2227145, -45.8560959 -23.2227353, -45.8560427 -23.222746)",,,,circular
1446674018,1446674021,0,"[131451065, 312106034, 312065462, 312106031]",True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,442.577,0.0031660692951015535,0.9999544056595978,2,"LINESTRING (-45.8606049 -23.2237976, -45.8610664 -23.2242429, -45.8613771 -23.2245271, -45.8614407 -23.2245852, -45.8616201 -23.2247494, -45.8614806 -23.2248836, -45.8612247 -23.2251297, -45.861084 -23.2252651, -45.86085 -23.2250292, -45.861303 -23.2245968, -45.8612582 -23.2245546, -45.8605319 -23.2238706)",60,,,
1446674018,1446674021,1,448343876,True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,11.807,0.0031660692951015535,,2,"LINESTRING (-45.8606049 -23.2237976, -45.8605978 -23.2238233, -45.8605819 -23.2238455, -45.8605592 -23.2238619, -45.8605319 -23.2238706)",60,,,roundabout
1446674020,1446674018,0,448343876,True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,21.381999999999998,0.00633733312555192,,2,"LINESTRING (-45.8604587 -23.2237295, -45.8604816 -23.2237161, -45.8605079 -23.2237098, -45.8605351 -23.2237111, -45.8605591 -23.2237192, -45.8605795 -23.2237333, -45.8605947 -23.2237521, -45.8606035 -23.2237742, -45.8606049 -23.2237976)",60,,,roundabout
1446674021,1446674033,0,448343876,True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,13.242999999999999,0.006326944054854295,0.9997439791777509,2,"LINESTRING (-45.8605319 -23.2238706, -45.860506 -23.2238711, -45.860481 -23.2238648, -45.8604591 -23.223852, -45.8604422 -23.223834, -45.8604317 -23.2238122)",60,,,roundabout
1446674033,1446674017,0,"[312065461, 312071887]",True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,460.035,0.006306165913459043,,2,"LINESTRING (-45.8604317 -23.2238122, -45.8567256 -23.2226719, -45.8566023 -23.2226433, -45.8565001 -23.2226387, -45.8561454 -23.2227145)",60,,,
1446674033,1446674020,0,"[132234536, 448343875]",True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,10.091999999999999,1.5583606046439148e-05,,2,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",60,,,roundabout
1446674039,7808956271,0,312071892,True,Avenida Brigadeiro Faria Lima,tertiary,False,133.724,0.02481169809360553,0.9995826554827947,,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",60,,,
