u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ebc,junction,bridge
1454017543,1454006788,0,132119310,False,Rua dos Jaburus,residential,False,88.24,"LINESTRING (-45.8503858 -23.2125256, -45.8496187 -23.2121613)",0.058183265147550844,,
1454017543,1454017540,0,132119310,False,Rua dos Jaburus,residential,True,55.494,"LINESTRING (-45.8503858 -23.2125256, -45.8508729 -23.2127462)",0.04490861778636502,,
1454017543,1454012796,0,132120143,False,Rua dos Uiramirins,residential,True,79.444,"LINESTRING (-45.8503858 -23.2125256, -45.8507258 -23.2118831)",0.03120368718583004,,
1454017543,1454017553,0,132120145,False,Rua Três,residential,False,66.09899999999999,"LINESTRING (-45.8503858 -23.2125256, -45.8502266 -23.2128021, -45.8501842 -23.2128619, -45.8501204 -23.2128983, -45.8500398 -23.2129163, -45.8499691 -23.2129178)",0.04532967032967033,,
1454017553,1454017557,0,132120145,False,Rua Três,residential,False,48.067,"LINESTRING (-45.8499691 -23.2129178, -45.8499186 -23.2129674, -45.8497379 -23.2132917)",0.018315018315018316,,
1454017553,1454017557,1,"[132129657, 132129655]",False,"['Rua Um', 'Rua Quatro']",residential,True,334.73900000000003,"LINESTRING (-45.8499691 -23.2129178, -45.8498901 -23.2128664, -45.8493503 -23.2126082, -45.8487395 -23.2123332, -45.8486687 -23.2123432, -45.8486234 -23.2123888, -45.8485135 -23.2126341, -45.8485175 -23.2126988, -45.8485443 -23.2127481, -45.8497379 -23.2132917)",0.018315018315018316,,
1454017553,1454017543,0,132120145,False,Rua Três,residential,True,66.099,"LINESTRING (-45.8499691 -23.2129178, -45.8500398 -23.2129163, -45.8501204 -23.2128983, -45.8501842 -23.2128619, -45.8502266 -23.2128021, -45.8503858 -23.2125256)",0.04532967032967033,,
1454017557,1454017559,0,132120145,False,Rua Três,residential,False,52.026,"LINESTRING (-45.8497379 -23.2132917, -45.8495151 -23.2137124)",0.027747252747252746,,
1454017557,1454017553,0,132120145,False,Rua Três,residential,True,48.067,"LINESTRING (-45.8497379 -23.2132917, -45.8499186 -23.2129674, -45.8499691 -23.2129178)",0.018315018315018316,,
1454017557,1454017553,1,"[132129657, 132129655]",False,"['Rua Um', 'Rua Quatro']",residential,False,334.739,"LINESTRING (-45.8497379 -23.2132917, -45.8485443 -23.2127481, -45.8485175 -23.2126988, -45.8485135 -23.2126341, -45.8486234 -23.2123888, -45.8486687 -23.2123432, -45.8487395 -23.2123332, -45.8493503 -23.2126082, -45.8498901 -23.2128664, -45.8499691 -23.2129178)",0.018315018315018316,,
