u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,junction,bridge
1453969534,8962304383,0,448342049,False,Rua Avião Bandeirante,residential,,False,86.292,"LINESTRING (-45.8607385 -23.1998786, -45.8599591 -23.1995802)",0.0009149328827486368,,
1453969534,1453969533,0,448342049,False,Rua Avião Bandeirante,residential,,True,30.568,"LINESTRING (-45.8607385 -23.1998786, -45.861014 -23.1999856)",0.0008571601435604155,,
1453969535,8962304382,0,132113607,False,Rua Avião Tangará,residential,,False,25.358,"LINESTRING (-45.8597444 -23.1994979, -45.8598454 -23.1997062)",0.00015577469189695896,,
1453969535,1453969544,0,448342049,False,Rua Avião Bandeirante,residential,,False,33.203,"LINESTRING (-45.8597444 -23.1994979, -45.8594474 -23.1993769)",0.003538688315388281,,
1453969535,8962304383,0,448342049,False,Rua Avião Bandeirante,residential,,True,23.775,"LINESTRING (-45.8597444 -23.1994979, -45.8599591 -23.1995802)",0.001390765708000836,,
1453969544,1453969535,0,448342049,False,Rua Avião Bandeirante,residential,,True,33.203,"LINESTRING (-45.8594474 -23.1993769, -45.8597444 -23.1994979)",0.003592136280216235,,
1453969544,2024367581,0,132113603,False,Rua Avião Muniz,residential,,False,213.607,"LINESTRING (-45.8594474 -23.1993769, -45.8591732 -23.1997282, -45.8591491 -23.1997836, -45.8591612 -23.1998366, -45.8597549 -23.2010985)",0.040873341290808295,,
1453969544,1453969511,0,"[132113603, 132113596]",False,"['Rua Avião Muniz', 'Rua Avião Alvear']",residential,,True,249.85899999999998,"LINESTRING (-45.8594474 -23.1993769, -45.8598435 -23.198826, -45.8614324 -23.1994463)",0.01333117073269037,,
1453969558,1453969560,0,132113607,False,Rua Avião Tangará,residential,,False,54.973,"LINESTRING (-45.8603998 -23.2008418, -45.8606107 -23.2012966)",0.0025603335012930615,,
1453969558,8962304382,0,132113607,False,Rua Avião Tangará,residential,,True,138.403,"LINESTRING (-45.8603998 -23.2008418, -45.8598454 -23.1997062)",0.003274230308699879,,
1453969558,2024367581,0,132113623,False,Rua Avião Universal,residential,,False,71.826,"LINESTRING (-45.8603998 -23.2008418, -45.8597549 -23.2010985)",0.0094206388985869,,
1453969560,1453969558,0,132113607,False,Rua Avião Tangará,residential,,True,54.973,"LINESTRING (-45.8606107 -23.2012966, -45.8603998 -23.2008418)",0.0042712831568048415,,
1453969560,1453969565,0,132113608,False,Rua Aviao Regente,residential,,True,75.722,"LINESTRING (-45.8606107 -23.2012966, -45.8611533 -23.2008329)",0.0028193266491424295,,
1453969560,8866552519,0,132113607,False,Rua Avião Tangará,residential,,False,77.702,"LINESTRING (-45.8606107 -23.2012966, -45.8606773 -23.2014473, -45.8608773 -23.2019004, -45.8608966 -23.2019441)",0.00023090496365257195,,
