u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,ref,bridge,junction
1454017536,1454017582,0,"[132120148, 860880373]",False,,"['Rua Sandro Bezerra da Silva', 'Rua Vicência Urbano da Silva']",residential,,False,350.377,"LINESTRING (-45.8518077 -23.2131735, -45.851209 -23.214223, -45.8507539 -23.2150207, -45.85022 -23.2159663)",0.009836661074222501,0.9958918656513089,,,
1454017537,1454017540,0,132119310,False,,Rua dos Jaburus,residential,,False,52.586,"LINESTRING (-45.8513332 -23.2129576, -45.8508729 -23.2127462)",0.01092577020697306,0.9988335760762905,,,
1454017537,1454017536,0,132119310,False,,Rua dos Jaburus,residential,,True,54.108,"LINESTRING (-45.8513332 -23.2129576, -45.8518077 -23.2131735)",0.004547181934142716,,,,
1454017537,3179135115,0,312091256,False,,Rua Cuitelos,residential,,True,157.383,"LINESTRING (-45.8513332 -23.2129576, -45.8520066 -23.2116847)",0.0027156784797992615,0.9995195215865079,,,
1454017538,1454017540,0,132120142,False,,Rua dos Socos,residential,,False,125.855,"LINESTRING (-45.8513896 -23.2117188, -45.8508729 -23.2127462)",0.0020962819037394467,0.999877592726301,,,
1454017538,1454012796,0,312091253,False,,Avenida das Curruiras,residential,,False,70.254,"LINESTRING (-45.8513896 -23.2117188, -45.8507258 -23.2118831)",0.005933157867364976,,,,
1454017538,1454006787,0,312091253,False,,Avenida das Curruiras,residential,,True,50.748,"LINESTRING (-45.8513896 -23.2117188, -45.8518511 -23.2115503)",0.0036403770428637214,,,,
1454017540,1454017543,0,132119310,False,,Rua dos Jaburus,residential,,False,55.494,"LINESTRING (-45.8508729 -23.2127462, -45.8503858 -23.2125256)",0.008335565906007422,0.999544329106307,,,
1454017540,1454017537,0,132119310,False,,Rua dos Jaburus,residential,,True,52.586,"LINESTRING (-45.8508729 -23.2127462, -45.8513332 -23.2129576)",0.006353204265209432,,,,
1454017540,1454017538,0,132120142,False,,Rua dos Socos,residential,,True,125.855,"LINESTRING (-45.8508729 -23.2127462, -45.8513896 -23.2117188)",0.003186428233601567,,,,
1454017543,1454006788,0,132119310,False,,Rua dos Jaburus,residential,,False,88.24,"LINESTRING (-45.8503858 -23.2125256, -45.8496187 -23.2121613)",0.006801803380488991,,,,
1454017543,1454017540,0,132119310,False,,Rua dos Jaburus,residential,,True,55.494,"LINESTRING (-45.8503858 -23.2125256, -45.8508729 -23.2127462)",0.004853146294106019,,,,
1454017543,1454012796,0,132120143,False,,Rua dos Uiramirins,residential,,True,79.444,"LINESTRING (-45.8503858 -23.2125256, -45.8507258 -23.2118831)",0.005121842257115086,,,,
1454017543,1454017553,0,132120145,False,,Rua Três,residential,,False,66.09899999999999,"LINESTRING (-45.8503858 -23.2125256, -45.8502266 -23.2128021, -45.8501842 -23.2128619, -45.8501204 -23.2128983, -45.8500398 -23.2129163, -45.8499691 -23.2129178)",0.004365502269587527,0.9929258330390364,,,
1454017553,1454017557,0,132120145,False,,Rua Três,residential,,False,48.067,"LINESTRING (-45.8499691 -23.2129178, -45.8499186 -23.2129674, -45.8497379 -23.2132917)",0.0017477797513321494,0.9944922083696404,,,
1454017553,1454017557,1,"[132129657, 132129655]",False,,"['Rua Quatro', 'Rua Um']",residential,,True,334.73900000000003,"LINESTRING (-45.8499691 -23.2129178, -45.8498901 -23.2128664, -45.8493503 -23.2126082, -45.8487395 -23.2123332, -45.8486687 -23.2123432, -45.8486234 -23.2123888, -45.8485135 -23.2126341, -45.8485175 -23.2126988, -45.8485443 -23.2127481, -45.8497379 -23.2132917)",0.0017477797513321494,,,,
1454017553,1454017543,0,132120145,False,,Rua Três,residential,,True,66.099,"LINESTRING (-45.8499691 -23.2129178, -45.8500398 -23.2129163, -45.8501204 -23.2128983, -45.8501842 -23.2128619, -45.8502266 -23.2128021, -45.8503858 -23.2125256)",0.004365502269587527,,,,
1454017557,1454017559,0,132120145,False,,Rua Três,residential,,False,52.026,"LINESTRING (-45.8497379 -23.2132917, -45.8495151 -23.2137124)",0.0026240378922439316,0.9959477698181367,,,
1454017557,1454017553,0,132120145,False,,Rua Três,residential,,True,48.067,"LINESTRING (-45.8497379 -23.2132917, -45.8499186 -23.2129674, -45.8499691 -23.2129178)",0.0017477797513321494,,,,
1454017557,1454017553,1,"[132129657, 132129655]",False,,"['Rua Quatro', 'Rua Um']",residential,,False,334.739,"LINESTRING (-45.8497379 -23.2132917, -45.8485443 -23.2127481, -45.8485175 -23.2126988, -45.8485135 -23.2126341, -45.8486234 -23.2123888, -45.8486687 -23.2123432, -45.8487395 -23.2123332, -45.8493503 -23.2126082, -45.8498901 -23.2128664, -45.8499691 -23.2129178)",0.0017477797513321494,,,,
1454017559,1454017561,0,132120145,False,,Rua Três,residential,,False,46.971,"LINESTRING (-45.8495151 -23.2137124, -45.8493069 -23.214089)",0.0008762581409117822,0.9986430210694747,,,
1454017559,1454017557,0,132120145,False,,Rua Três,residential,,True,52.026,"LINESTRING (-45.8495151 -23.2137124, -45.8497379 -23.2132917)",0.0026240378922439316,,,,
1454017559,1454017575,0,132120146,False,,Rua Cinco,residential,,False,123.616,"LINESTRING (-45.8495151 -23.2137124, -45.8484467 -23.2131911)",0.0008762581409117822,0.9986430210694747,,,
1454017561,1454017559,0,132120145,False,,Rua Três,residential,,True,46.971,"LINESTRING (-45.8493069 -23.214089, -45.8495151 -23.2137124)",0.0008762581409117822,,,,
1454017561,1454017561,0,"[132129648, 132120145, 132129651]",False,,"['Rua Sete', 'Rua Três', 'Rua Seis']",residential,,False,278.23699999999997,"LINESTRING (-45.8493069 -23.214089, -45.8492036 -23.2142872, -45.8491264 -23.2144352, -45.8490693 -23.2144612, -45.8489912 -23.214454, -45.8489081 -23.2144229, -45.8483807 -23.2141704, -45.8483411 -23.2141113, -45.8483271 -23.2140657, -45.8483508 -23.2138554, -45.8483665 -23.213801, -45.8484132 -23.2137481, -45.848493 -23.2137288, -45.8493069 -23.214089)",0.0,1.0,,,
1454017561,1454017561,1,"[132129648, 132120145, 132129651]",False,,"['Rua Sete', 'Rua Três', 'Rua Seis']",residential,,True,278.237,"LINESTRING (-45.8493069 -23.214089, -45.848493 -23.2137288, -45.8484132 -23.2137481, -45.8483665 -23.213801, -45.8483508 -23.2138554, -45.8483271 -23.2140657, -45.8483411 -23.2141113, -45.8483807 -23.2141704, -45.8489081 -23.2144229, -45.8489912 -23.214454, -45.8490693 -23.2144612, -45.8491264 -23.2144352, -45.8492036 -23.2142872, -45.8493069 -23.214089)",0.0,,,,
1454017575,1454017559,0,132120146,False,,Rua Cinco,residential,,True,123.616,"LINESTRING (-45.8484467 -23.2131911, -45.8495151 -23.2137124)",0.0008762581409117822,,,,
1454017582,1454017600,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,False,62.012,"LINESTRING (-45.85022 -23.2159663, -45.8496876 -23.2156987)",0.003596918312264674,0.9991739203707585,,,
1454017582,1454021533,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,True,18.766,"LINESTRING (-45.85022 -23.2159663, -45.8503811 -23.2160473)",0.006606190458068077,0.9983541823239018,,,
1454017582,1454017536,0,"[132120148, 860880373]",False,,"['Rua Sandro Bezerra da Silva', 'Rua Vicência Urbano da Silva']",residential,,True,350.377,"LINESTRING (-45.85022 -23.2159663, -45.8507539 -23.2150207, -45.851209 -23.214223, -45.8518077 -23.2131735)",0.011385418536831738,,,,
1454017584,1454021651,0,132120149,True,,Avenida Domingos Maldonado Campoy,residential,,False,11.68,"LINESTRING (-45.8512413 -23.2165405, -45.8512923 -23.2164465)",0.006453639128874625,0.9999226411218908,,,
1454017584,7812391869,0,837069414,True,,Rua Antônio Vieira Veiga,residential,,False,33.015,"LINESTRING (-45.8512413 -23.2165405, -45.851093 -23.2164459, -45.8509913 -23.2163541)",0.003227587382298488,0.999913304535632,,,
1454017585,1454021561,0,132120152,False,,Rua Francisco Rebouças da Silva,residential,,False,99.516,"LINESTRING (-45.8510206 -23.2170402, -45.8501732 -23.2165992)",0.003319919801398575,0.999648622036893,,,
1454017585,1454017586,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,False,58.965,"LINESTRING (-45.8510206 -23.2170402, -45.8507534 -23.2175102)",0.006830053529397142,0.9996020151990197,,,
1454017585,7812391872,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,True,23.157,"LINESTRING (-45.8510206 -23.2170402, -45.8511255 -23.2168556)",0.005476131436805601,0.9992461733227909,,,
1454017586,1454021551,0,132120153,False,,Rua Jayme Pinto da Cunha,residential,,False,92.452,"LINESTRING (-45.8507534 -23.2175102, -45.8499569 -23.2171159)",0.0017927000587686058,0.9999346894426417,,,
1454017586,1454017587,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,False,63.561,"LINESTRING (-45.8507534 -23.2175102, -45.8504653 -23.2180168)",0.005050734169266755,0.9997689391937077,,,
1454017586,1454017585,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,True,58.965,"LINESTRING (-45.8507534 -23.2175102, -45.8510206 -23.2170402)",0.003558873443458352,,,,
1454017587,1454021553,0,132120154,False,,Rua Alexandre Porfírio da Silva,residential,,False,93.121,"LINESTRING (-45.8504653 -23.2180168, -45.849665 -23.2176163)",0.003092620953841528,0.9998424714014564,,,
1454017587,1454021602,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,False,14.971,"LINESTRING (-45.8504653 -23.2180168, -45.8503974 -23.2181361)",0.00381247391456507,0.9995419135365472,,,
1454017587,1454017586,0,843814403,False,,Avenida Domingos Maldonado Campoy,residential,,True,63.561,"LINESTRING (-45.8504653 -23.2180168, -45.8507534 -23.2175102)",0.0018315612303368108,,,,
1454017590,1454017591,0,132120150,False,,Rua Maria Luiza Rocha,residential,,False,68.013,"LINESTRING (-45.8489594 -23.2146357, -45.8486543 -23.2151793)",0.0008762581409117822,0.9984736030993177,,,
1454017591,1454017592,0,132120150,False,,Rua Maria Luiza Rocha,residential,,False,61.008,"LINESTRING (-45.8486543 -23.2151793, -45.8483879 -23.2156703)",0.0018268159049686576,0.9995428428946771,,,
1454017591,1454017590,0,132120150,False,,Rua Maria Luiza Rocha,residential,,True,68.013,"LINESTRING (-45.8486543 -23.2151793, -45.8489594 -23.2146357)",0.0008762581409117822,,,,
1454017591,1454017601,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,True,58.238,"LINESTRING (-45.8486543 -23.2151793, -45.8491543 -23.2154306)",0.0021598015168175027,0.9998234582248909,,,
1454017592,1454017591,0,132120150,False,,Rua Maria Luiza Rocha,residential,,True,61.008,"LINESTRING (-45.8483879 -23.2156703, -45.8486543 -23.2151793)",0.002802339131824034,,,,
1454017592,1454021529,0,132120152,False,,Rua Francisco Rebouças da Silva,residential,,True,105.731,"LINESTRING (-45.8483879 -23.2156703, -45.8492883 -23.2161387)",0.003672349109082159,0.9997802022353885,,,
1454017592,1454017594,0,"[132129632, 132120150]",False,,"['Rua Maria Luiza Rocha', 'Rua José Pinto da Cunha']",residential,,False,76.217,"LINESTRING (-45.8483879 -23.2156703, -45.8483374 -23.2157664, -45.8483214 -23.2158093, -45.8483151 -23.2158605, -45.8483853 -23.216338)",0.004937181672350406,0.9991826853215257,,,
1454017594,1454021582,0,132120153,False,,Rua Jayme Pinto da Cunha,residential,,True,96.174,"LINESTRING (-45.8483853 -23.216338, -45.8492139 -23.2167481)",0.004957445216842553,0.9997183383929146,,,
1454017594,1454017595,0,132129632,False,,Rua José Pinto da Cunha,residential,,False,76.649,"LINESTRING (-45.8483853 -23.216338, -45.8483821 -23.2163875, -45.8484751 -23.2170215)",0.009405145746068006,0.9984136266861443,,,
1454017594,1454017592,0,"[132129632, 132120150]",False,,"['Rua Maria Luiza Rocha', 'Rua José Pinto da Cunha']",residential,,True,76.21700000000001,"LINESTRING (-45.8483853 -23.216338, -45.8483151 -23.2158605, -45.8483214 -23.2158093, -45.8483374 -23.2157664, -45.8483879 -23.2156703)",0.006717418714826696,,,,
1454017595,1454021563,0,132120154,False,,Rua Alexandre Porfírio da Silva,residential,,True,64.99,"LINESTRING (-45.8484751 -23.2170215, -45.8490372 -23.2172949)",0.0030942366312713995,0.9997221700078637,,,
1454017595,1454017596,0,132129632,False,,Rua José Pinto da Cunha,residential,,False,75.882,"LINESTRING (-45.8484751 -23.2170215, -45.8485504 -23.2177004)",0.013206763657707751,0.9976534320342466,,,
1454017595,1454017594,0,132129632,False,,Rua José Pinto da Cunha,residential,,True,76.649,"LINESTRING (-45.8484751 -23.2170215, -45.8483821 -23.2163875, -45.8483853 -23.216338)",0.012301297736975627,,,,
1454017596,1454017595,0,132129632,False,,Rua José Pinto da Cunha,residential,,True,75.882,"LINESTRING (-45.8485504 -23.2177004, -45.8484751 -23.2170215)",0.01606957173144965,,,,
1454017596,1454021549,0,312071915,False,,Rua Noel de Oliveira Campos,residential,,True,87.475,"LINESTRING (-45.8485504 -23.2177004, -45.849302 -23.2180769)",0.007949629156518968,0.9989651683765147,,,
1454017596,1454139110,0,132129632,False,,Rua José Pinto da Cunha,residential,,False,325.053,"LINESTRING (-45.8485504 -23.2177004, -45.8486469 -23.2183721, -45.8486912 -23.2186592, -45.8487502 -23.2187862, -45.8488575 -23.2189131, -45.850275 -23.2199371)",0.022478285287541637,0.9929305156021422,,,
1454017596,1454021591,0,312071915,False,,Rua Noel de Oliveira Campos,residential,,False,89.451,"LINESTRING (-45.8485504 -23.2177004, -45.8481628 -23.2175426, -45.8477721 -23.2173348)",0.036372155234044835,0.99276882835001,,,
1454017599,1454021533,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,False,43.438,"LINESTRING (-45.850754 -23.2162348, -45.8503811 -23.2160473)",0.0035962902315530023,0.9988572363127014,,,
1454017599,7812391869,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,True,27.641,"LINESTRING (-45.850754 -23.2162348, -45.8509913 -23.2163541)",0.003400627726555447,0.9989803526406386,,,
1454017599,1454017604,0,132120155,False,,Rua Carlos Roberto Friggi,residential,,False,126.957,"LINESTRING (-45.850754 -23.2162348, -45.8512914 -23.2152054)",0.0008762581409117822,0.9983866958670219,,,
1454017600,1454021527,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,False,13.549,"LINESTRING (-45.8496876 -23.2156987, -45.8495713 -23.2156402)",0.0030924183519920674,0.9994595649407226,,,
1454017600,1454017582,0,132120151,False,,Rua Antônio Vieira Veiga,residential,,True,62.012,"LINESTRING (-45.8496876 -23.2156987, -45.85022 -23.2159663)",0.005596753689436975,,,,
