osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
1454067981,-23.2157407,-45.8355624,,3,0.011650485436893204,0.03765268587265447,0.007706546787049979,10.639575130856135,POINT (-45.8355624 -23.2157407)
1454139110,-23.2199371,-45.850275,,3,0.011650485436893204,0.05953165057663086,0.14522802750020586,22.243790757880895,POINT (-45.850275 -23.2199371)
1454185783,-23.2106983,-45.8478145,,3,0.007766990291262136,0.0634899909793595,0.011253265037322553,22.68087386944366,POINT (-45.8478145 -23.2106983)
1454203444,-23.215559,-45.8420206,,4,0.015533980582524271,0.04877643751430159,0.07353813967126675,33.0623568460913,POINT (-45.8420206 -23.215559)
1454203501,-23.2158977,-45.843138,,4,0.015533980582524271,0.044692028907991635,0.04884310053589638,26.329618011131956,POINT (-45.843138 -23.2158977)
1454248242,-23.2055891,-45.8563362,,4,0.015533980582524271,0.06005342508127029,0.052005456567519474,35.56564335801814,POINT (-45.8563362 -23.2055891)
1454889053,-23.1974399,-45.8611533,turning_circle,1,0.003883495145631068,0.03934743659484441,0.0,6.29898335629501,POINT (-45.8611533 -23.1974399)
1454899412,-23.1954324,-45.8644229,,3,0.009708737864077669,0.03797985527798989,0.003858724102386979,20.90861445637286,POINT (-45.8644229 -23.1954324)
1454899416,-23.1953022,-45.8642615,,3,0.007766990291262136,0.03798554599649124,0.006112223439487316,20.589567803916825,POINT (-45.8642615 -23.1953022)
1455087455,-23.201609,-45.8625557,,3,0.005825242718446602,0.041346413435632806,0.042805754703491836,25.13839138190908,POINT (-45.8625557 -23.201609)
1455087457,-23.2005619,-45.8636349,,3,0.005825242718446602,0.001941747572815534,0.0019266366967624947,22.7359766430492,POINT (-45.8636349 -23.2005619)
1455133624,-23.2057939,-45.860633,,3,0.005825242718446602,0.04667075367831048,0.0951385687039481,16.726423683320792,POINT (-45.860633 -23.2057939)
2024367581,-23.2010985,-45.8597549,,4,0.015533980582524271,0.05275528747905161,0.07872908235654293,30.271198393389284,POINT (-45.8597549 -23.2010985)
