u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437658993,1437650653,0,665146346,False,,,Rua Turmalina,tertiary,,False,20.678,"LINESTRING (-45.8741053 -23.1923977, -45.8739269 -23.19231)",0.004693672150346084,,,
1437658993,1437650652,0,665146346,False,,,Rua Turmalina,tertiary,,True,75.141,"LINESTRING (-45.8741053 -23.1923977, -45.8747648 -23.1926963)",0.009784610682968268,,,
1437658993,2061117173,0,130573171,False,,,Rua Pérolas,residential,,False,127.65299999999999,"LINESTRING (-45.8741053 -23.1923977, -45.8732818 -23.1931568, -45.8732234 -23.1932106)",0.00020124022571125144,0.9998253018369474,,
1437658994,1437658995,0,130573171,False,,,Rua Pérolas,residential,,False,61.456,"LINESTRING (-45.8729401 -23.1934944, -45.8725067 -23.1938775)",0.0011980390464143092,0.9999003740409541,,
1437658994,1437658978,0,130573172,False,,,Rua Turquesa,residential,,True,137.878,"LINESTRING (-45.8729401 -23.1934944, -45.8738864 -23.1943781)",0.0005070378088355438,,,
1437658994,2061117173,0,130573171,False,,,Rua Pérolas,residential,,True,42.829,"LINESTRING (-45.8729401 -23.1934944, -45.8731812 -23.1932529, -45.8732234 -23.1932106)",0.0013857637842720513,0.9998363010193664,,
1437658995,1437658985,0,130573171,False,,,Rua Pérolas,residential,,False,62.191,"LINESTRING (-45.8725067 -23.1938775, -45.8720744 -23.1942711)",0.002666493051726986,,,
1437658995,1437658994,0,130573171,False,,,Rua Pérolas,residential,,True,61.456,"LINESTRING (-45.8725067 -23.1938775, -45.8729401 -23.1934944)",0.0012838385471693782,,,
1437658995,1437658979,0,130573173,False,,,Rua Rubi,residential,,True,143.305,"LINESTRING (-45.8725067 -23.1938775, -45.8734803 -23.1948049)",0.0008937304756366947,,,
1437658996,2061117171,0,130573174,False,,,Rua Topázio,residential,,False,125.103,"LINESTRING (-45.8729236 -23.1918463, -45.8720948 -23.1926742)",0.0004864071001763629,0.9996073538389726,,
1437658996,1437650655,0,665146346,False,,,Rua Turmalina,tertiary,,False,88.196,"LINESTRING (-45.8729236 -23.1918463, -45.8721561 -23.1914838)",0.030792415243348664,,,
1437658996,1437650653,0,665146346,False,,,Rua Turmalina,tertiary,,True,114.78,"LINESTRING (-45.8729236 -23.1918463, -45.8739269 -23.19231)",0.010364937919400083,,,
1437658996,1437650697,0,130572199,False,,,Rua Jacinto,residential,,False,103.11500000000001,"LINESTRING (-45.8729236 -23.1918463, -45.8729625 -23.19176, -45.8729357 -23.1916256, -45.8726433 -23.1909822)",0.00967943338364854,,,
1437658997,2061117171,0,130573174,False,,,Rua Topázio,residential,,True,93.092,"LINESTRING (-45.8714605 -23.193275, -45.8720948 -23.1926742)",0.0005510891987933558,0.9999178113293529,,
1437658997,1437659003,0,130573178,False,,,Praça Diamante,residential,,False,60.401,"LINESTRING (-45.8714605 -23.193275, -45.8710467 -23.1928872)",0.0008994879176738455,0.9999415264674455,,
1437658997,1437658999,0,130573178,False,,,Praça Diamante,residential,,True,62.122,"LINESTRING (-45.8714605 -23.193275, -45.8718877 -23.1936724)",0.00042646412828271403,0.9999539539644838,,
1437658999,1437658986,0,130573175,False,,,Rua Opala,residential,,False,35.074,"LINESTRING (-45.8718877 -23.1936724, -45.8716492 -23.1938992)",0.004196607727737655,,,
1437658999,1437658987,0,130573175,False,,,Rua Opala,residential,,True,113.317,"LINESTRING (-45.8718877 -23.1936724, -45.8726735 -23.1929535)",0.00047874943152281465,,,
1437658999,1437658997,0,130573178,False,,,Praça Diamante,residential,,False,62.122,"LINESTRING (-45.8718877 -23.1936724, -45.8714605 -23.193275)",0.00041823898785029145,,,
1437659002,1437659003,0,130573177,False,,,Rua Ametista,residential,,False,36.278,"LINESTRING (-45.8707851 -23.1931077, -45.8710467 -23.1928872)",8.309405893308622e-05,0.9998629355807278,,
1437659002,1437659005,0,130573179,False,,,Rua Jade,residential,,False,62.962,"LINESTRING (-45.8707851 -23.1931077, -45.8703527 -23.1927044)",0.013498978856467376,0.9992094371647181,,
