u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,maxspeed,bridge,junction
1437641681,8230948115,0,333874932,False,,,Rua Turmalina,tertiary,False,8.638,"LINESTRING (-45.8756041 -23.1930902, -45.8755286 -23.1930553)",0.0025766042913457003,,,
1437641681,8230948114,0,432812124,True,,,Avenida Samuel Wainer,secondary,False,10.538,"LINESTRING (-45.8756041 -23.1930902, -45.8755928 -23.1931844)",0.0015024647483544804,60,,
1437641681,2905769451,0,432812128,False,,,Rua Antônio Porfírio da Silva,tertiary,True,30.767,"LINESTRING (-45.8756041 -23.1930902, -45.8756465 -23.1931131, -45.8756888 -23.1931359, -45.8758647 -23.1932287)",0.012891752293866753,,,
1437641687,1437624926,0,130569349,False,,,Rua Itororó,tertiary,False,32.92,"LINESTRING (-45.8772179 -23.191721, -45.877241 -23.1917345, -45.8773204 -23.1917851, -45.8773547 -23.1918065, -45.8774842 -23.1918875)",0.005971317538291095,,,
1437641687,1437624927,0,286900444,True,,,Rua Itororó,tertiary,False,61.012,"LINESTRING (-45.8772179 -23.191721, -45.8768509 -23.1914687, -45.876786 -23.1914232, -45.8767537 -23.1914001, -45.8767407 -23.1913914)",0.008944501466107216,,,
1437646728,1437627795,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,21.942,"LINESTRING (-45.8775887 -23.1904954, -45.8774431 -23.1906404)",0.020639269091799993,60,,
1437646729,1439285829,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,False,45.424,"LINESTRING (-45.8766877 -23.1886429, -45.8771321 -23.1886398)",0.003808042671272942,50,,
1437646729,9046828994,0,995327397,True,,,Praça Duque de Caxias,residential,False,56.131,"LINESTRING (-45.8766877 -23.1886429, -45.8767977 -23.1888416, -45.8769348 -23.1890937)",0.003839404772368701,,,
1437646730,1437646728,0,130571647,True,,,Praça Duque de Caxias,residential,False,103.268,"LINESTRING (-45.877228 -23.1896458, -45.8775753 -23.190308, -45.8776073 -23.1903984, -45.8775989 -23.1904477, -45.8775887 -23.1904954)",0.014191479637821032,,,
1437646731,1437646730,0,130571647,True,,,Praça Duque de Caxias,residential,False,18.26,"LINESTRING (-45.8771536 -23.1894965, -45.877228 -23.1896458)",0.005494586177293101,,,
1437646731,1437646732,0,995327396,False,,,Praça Duque de Caxias,residential,True,24.452,"LINESTRING (-45.8771536 -23.1894965, -45.8770447 -23.1893007)",0.0007621854485342875,,,
1437646732,1437646731,0,995327396,False,,,Praça Duque de Caxias,residential,False,24.452,"LINESTRING (-45.8770447 -23.1893007, -45.8771536 -23.1894965)",0.002895897687552612,,,
1437646732,9046828995,0,130571652,True,,,Praça Carlos Gomes,residential,False,20.081,"LINESTRING (-45.8770447 -23.1893007, -45.8769782 -23.189248, -45.8769553 -23.1892358, -45.8769308 -23.1892294, -45.8769081 -23.1892285, -45.8768742 -23.1892311)",0.000858986640812221,,,
1437646733,1437627792,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,91.17299999999999,"LINESTRING (-45.8773872 -23.1906993, -45.877301 -23.1907923, -45.8771944 -23.1909099, -45.8771593 -23.1909488, -45.8771277 -23.1909841, -45.8768525 -23.1912676, -45.8768029 -23.1913187)",0.014515749337682467,60,,
1437646733,1437646740,0,130571650,True,,,Praça Duque de Caxias,residential,False,122.702,"LINESTRING (-45.8773872 -23.1906993, -45.8773555 -23.1906371, -45.8772051 -23.190342, -45.8769034 -23.1897499, -45.876878 -23.1897)",7.664490070469684e-05,,,
1437646735,1437630821,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,37.551,"LINESTRING (-45.8786335 -23.1889455, -45.8784541 -23.1892402)",0.00269536220020243,60,,
1437646735,1437646731,0,130571648,True,,,Rua Cristovão Colombo,residential,False,163.25099999999998,"LINESTRING (-45.8786335 -23.1889455, -45.8772032 -23.1894707, -45.8771536 -23.1894965)",0.003358494277709562,,,
1437646736,2905769453,0,130571663,True,3,,Avenida Santos Dumont,secondary,False,31.795,"LINESTRING (-45.8746809 -23.1905705, -45.8748017 -23.190834)",0.013380888797220419,50,,
1437646736,2061117155,0,772736755,False,1,,Rua Castro Alves,residential,True,83.352,"LINESTRING (-45.8746809 -23.1905705, -45.8747789 -23.1905317, -45.875374 -23.1902959, -45.8754298 -23.1902738)",0.009568315264157733,,,
1437646740,1437646730,0,130571649,True,1,,Rua Castro Alves,residential,False,39.888000000000005,"LINESTRING (-45.876878 -23.1897, -45.8770832 -23.1896063, -45.8771302 -23.1895985, -45.8771773 -23.1896083, -45.877228 -23.1896458)",0.008694513799962715,,,
1437646740,9041604379,0,977054464,False,1,,Rua Castro Alves,residential,False,76.80000000000001,"LINESTRING (-45.876878 -23.1897, -45.8765142 -23.1898441, -45.8762752 -23.1899455, -45.8762217 -23.1899682, -45.876192 -23.1899816)",0.0007902456126991381,,,
1437646756,1437646729,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,False,31.173,"LINESTRING (-45.8763831 -23.1886288, -45.8766877 -23.1886429)",0.007645067783076427,50,,
1437646756,1439285813,0,130756788,True,,,Rua Luiz Pasteur,residential,False,88.43299999999999,"LINESTRING (-45.8763831 -23.1886288, -45.8763593 -23.1885699, -45.8761806 -23.1878561)",0.0044802241376086325,,,
1437646771,9041604378,0,130571654,True,,,Rua Riachuelo,residential,False,168.213,"LINESTRING (-45.8755116 -23.1885746, -45.8755413 -23.1886392, -45.876134 -23.1899255, -45.8761534 -23.1899676)",0.009921745216082967,,,
1437646771,1439289548,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,False,21.361,"LINESTRING (-45.8755116 -23.1885746, -45.8756157 -23.1885835, -45.8757197 -23.1885923)",0.013596756556660821,50,,
1437646780,1438307087,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,False,27.921,"LINESTRING (-45.8762201 -23.1919354, -45.8760415 -23.1921254)",0.022769340426290387,,,
1437646780,2061117155,0,130571655,True,,,Rua Tenente Aécio Lemes de Souza,residential,False,202.994,"LINESTRING (-45.8762201 -23.1919354, -45.8761827 -23.1919222, -45.8761574 -23.1918891, -45.8754391 -23.1902957, -45.8754298 -23.1902738)",0.002707667032615256,,,
1437646789,1439285800,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,False,48.128,"LINESTRING (-45.8745953 -23.188523, -45.8750656 -23.1885441)",0.03206570151998035,50,,
1437646813,1437650673,0,448345146,True,,,Rua Ceci,secondary,False,56.792,"LINESTRING (-45.8735531 -23.1889547, -45.873417 -23.1890712, -45.8731551 -23.189311)",0.008427107286764412,,,
