osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
461879259,-23.533616,-46.6230259,4,0.0029784065524944155,0.0298631259680059,0.002888614179094264,-0.00030045478798531054,0.07609631930206648,,,POINT (-46.6230259 -23.533616)
461879263,-23.533874,-46.6220076,4,0.004467609828741623,0.034137429948661674,0.010300507608955784,-7.709092505467798e-05,0.07609631930206648,traffic_signals,,POINT (-46.6220076 -23.533874)
461879266,-23.5341065,-46.6210969,4,0.0037230081906180195,0.03302052516755558,0.0014664546419975299,-0.00030554548967549395,0.07609631930206648,,,POINT (-46.6210969 -23.5341065)
461879269,-23.5343902,-46.6199449,3,0.0022338049143708115,0.03306541440785949,0.00286577307072162,-0.00010970696961202025,0.07609631930206648,,,POINT (-46.6199449 -23.5343902)
461879276,-23.5352584,-46.6204071,4,0.0029784065524944155,0.03419309871288195,0.026881117856790135,1.5543388285696994e-05,0.07609631930206648,traffic_signals,,POINT (-46.6204071 -23.5352584)
461879288,-23.5360069,-46.6223038,3,0.0037230081906180195,0.03662979855790706,0.023863224853789167,0.0007059745214578955,0.07609631930206648,,,POINT (-46.6223038 -23.5360069)
461879295,-23.5367282,-46.6222637,3,0.0022338049143708115,0.036756005135584136,0.01563256553918517,0.002514532503002643,0.07609631930206648,,,POINT (-46.6222637 -23.5367282)
461879297,-23.5388141,-46.6221638,1,0.0014892032762472078,0.03413359740439171,0.0,-0.0003898690874537257,0.07609631930206648,turning_circle,,POINT (-46.6221638 -23.5388141)
461879342,-23.5351456,-46.6214028,3,0.0029784065524944155,0.03197102820581699,0.02444840110391909,-0.0002968192996064427,0.07609631930206648,,,POINT (-46.6214028 -23.5351456)
461879447,-23.5347749,-46.6233895,3,0.0022338049143708115,0.03412306234346443,0.04208543573251897,-0.00020052118521046925,0.07609631930206648,,,POINT (-46.6233895 -23.5347749)
461894878,-23.5359621,-46.620428,4,0.0029784065524944155,0.03545821744478023,0.03083124249341307,0.0002405684188357979,0.07609631930206648,,,POINT (-46.620428 -23.5359621)
461894879,-23.5366366,-46.6204405,4,0.0029784065524944155,0.031991212466686104,0.019882306334218496,0.0007219549827835099,0.07609631930206648,,,POINT (-46.6204405 -23.5366366)
461894881,-23.5372938,-46.6204579,3,0.0029784065524944155,0.03198700531091721,0.017722850614712484,-0.00028917099511152,0.07609631930206648,,,POINT (-46.6204579 -23.5372938)
461894915,-23.5372341,-46.6190095,4,0.0022338049143708115,0.03190644196455746,0.0018644632672439273,-7.503025360427668e-05,0.07609631930206648,,,POINT (-46.6190095 -23.5372341)
461894945,-23.536564,-46.6189894,3,0.0022338049143708115,0.03300797801327413,0.00398064109720177,-1.946051733194626e-05,0.07609631930206648,,,POINT (-46.6189894 -23.536564)
461894949,-23.5359271,-46.6189639,3,0.0022338049143708115,0.03419117607807563,0.003970653891921423,-0.00032215214054507517,0.07609631930206648,,,POINT (-46.6189639 -23.5359271)
598617885,-23.553884,-46.6356738,3,0.0022338049143708115,0.04135988103390941,0.0014767549382370617,0.0004803416488740026,0.07609631930206648,,,POINT (-46.6356738 -23.553884)
