u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1446748354,1446748353,0,131460628,True,,,secondary_link,False,47.318,0.04797233646088968,,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",60,,,
1446748354,3178886345,0,312071893,True,,Avenida Brigadeiro Faria Lima,tertiary,False,230.83599999999998,0.0337695789410994,0.9957672637541842,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",60,,,
1446748371,1446748354,0,472739642,True,,Avenida dos Astronautas,secondary,False,32.785,0.08172702647339637,,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",60,,,
1446748375,1446674039,0,312071891,True,,,tertiary_link,False,39.298,0.005748615329640879,,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",,,,
1446748375,3178886311,0,877791480,True,,,residential,False,18.209,6.848907152641297e-05,0.9998452241765137,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",,,,circular
1446748386,1446674020,0,312071889,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,460.52500000000003,0.0066106842951581205,,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",60,,,
1446748386,1446674017,0,448352067,True,,,unclassified,False,45.724,0.001664582216663689,,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",,,,circular
1453950122,1454899416,0,885743517,False,,Rua Teodomiro Costa,residential,False,48.334,0.0001019182612000193,0.9997100414207303,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",,,,
1453950122,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,False,143.519,0.0025070686960985485,0.9987981052983856,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",,,,
1453950122,1453950288,0,"[132214761, 448342029]",False,,"['Rua Marginal B', 'Rua Teodomiro Costa']",residential,True,357.74800000000005,0.0027509280765489453,0.9987590101433795,"LINESTRING (-45.8642372 -23.1948681, -45.8643063 -23.194418, -45.8643224 -23.1943135, -45.8643377 -23.1942138, -45.8647648 -23.1923585, -45.8654099 -23.1926486)",,,,
1453950123,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,True,45.647,0.0012217004007248782,0.9999137355835127,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",,,,
1453950123,1453957511,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,True,69.515,0.0013855778747685127,0.9999369675453639,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",,,,
1453950123,1453950300,0,885743516,False,,Rua Teodomiro Costa,residential,False,174.952,0.003012852690358497,0.9996861884222782,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",,,,
1453950123,1454899416,0,448342045,True,,Rua Teodomiro Costa,residential,False,57.18,0.0043226175587261885,0.999793689020656,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",,,,
1453950288,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,False,198.368,0.011160674700070804,0.9994400669549511,"LINESTRING (-45.8654099 -23.1926486, -45.8649731 -23.1943868)",,,,
1453950288,1453950122,0,"[132214761, 448342029]",False,,"['Rua Marginal B', 'Rua Teodomiro Costa']",residential,False,357.74800000000005,0.0014183760574684207,,"LINESTRING (-45.8654099 -23.1926486, -45.8647648 -23.1923585, -45.8643377 -23.1942138, -45.8643224 -23.1943135, -45.8643063 -23.194418, -45.8642372 -23.1948681)",,,,
1453950289,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,False,171.431,0.013384685957046158,0.9996056646345964,"LINESTRING (-45.8649731 -23.1943868, -45.8649342 -23.1959281)",,,,
1453950289,1453950288,0,132110338,False,,Rua Raul Franco Martins,residential,True,198.368,0.0024707822501283437,,"LINESTRING (-45.8649731 -23.1943868, -45.8654099 -23.1926486)",,,,
1453950289,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,False,129.151,0.000560979379542896,0.9998435801781937,"LINESTRING (-45.8649731 -23.1943868, -45.8644229 -23.1954324)",,,,
