u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437650655,1437650678,0,130572198,False,,,Praça Platina,residential,,False,106.46,"LINESTRING (-45.8721561 -23.1914838, -45.8721114 -23.1913847, -45.8719446 -23.1910147, -45.8718456 -23.1907813, -45.8718063 -23.1906886, -45.8717669 -23.1905958)",0.0008336686619298311,0.999911127395055,,
1437650655,1437650656,0,665146346,False,,,Rua Turmalina,tertiary,,False,101.022,"LINESTRING (-45.8721561 -23.1914838, -45.8717181 -23.1912602, -45.8715262 -23.1911621, -45.8714074 -23.1911015, -45.8713624 -23.1910785, -45.8712921 -23.1910426)",0.03690863945001256,0.9993268668727772,,
1437650656,2061117167,0,973344609,True,,,Rua Ceci,secondary,,False,127.722,"LINESTRING (-45.8712921 -23.1910426, -45.8704132 -23.1918591)",0.04202471777510802,0.9990722312434204,,
1437650656,1437650655,0,665146346,False,,,Rua Turmalina,tertiary,,True,101.022,"LINESTRING (-45.8712921 -23.1910426, -45.8713624 -23.1910785, -45.8714074 -23.1911015, -45.8715262 -23.1911621, -45.8717181 -23.1912602, -45.8721561 -23.1914838)",0.007598775585559885,,,
1437650668,1437646813,0,320807040,True,,,Rua Ceci,secondary,,False,17.217,"LINESTRING (-45.8736688 -23.1888445, -45.8736081 -23.1889184, -45.8735531 -23.1889547)",0.007681850520362967,,,
1437650668,8234497506,0,320807041,True,,,Avenida Santos Dumont,secondary,,False,44.736,"LINESTRING (-45.8736688 -23.1888445, -45.8734942 -23.1885178, -45.8734758 -23.1884834)",0.0019654223586801594,0.9993589529108708,,
1437650673,1437650675,0,448345146,True,,,Rua Ceci,secondary,,False,63.273,"LINESTRING (-45.8731551 -23.189311, -45.8727173 -23.1897133)",0.007569582762560483,0.999909527411646,,
1437650673,2061117157,0,130572201,False,,,Rua Sardônica,residential,,True,148.774,"LINESTRING (-45.8731551 -23.189311, -45.8731906 -23.1893856, -45.8737444 -23.1905344)",0.0024657322945512367,0.9998288932217065,,
1437650675,2061117160,0,130572200,False,,,Rua Granada,residential,,True,125.421,"LINESTRING (-45.8727173 -23.1897133, -45.8727525 -23.1897893, -45.8731977 -23.1907512)",0.002041603479276296,0.9999727316036899,,
1437650675,1437650677,0,448345146,True,,,Rua Ceci,secondary,,False,70.21000000000001,"LINESTRING (-45.8727173 -23.1897133, -45.8726397 -23.1897869, -45.8722338 -23.1901618)",0.006667500156848331,0.9998626213766879,,
1437650677,1437681463,0,448345146,True,,,Rua Ceci,secondary,,False,31.383,"LINESTRING (-45.8722338 -23.1901618, -45.8720165 -23.1903612)",0.0074133071373600964,0.9996330151917202,,
1437650677,1437650697,0,130572199,False,,,Rua Jacinto,residential,,True,100.369,"LINESTRING (-45.8722338 -23.1901618, -45.8722671 -23.1902286, -45.8722871 -23.1902686, -45.8726433 -23.1909822)",0.0021973816489171726,0.9998988599686217,,
1437650678,1437650655,0,130572198,False,,,Praça Platina,residential,,True,106.46000000000001,"LINESTRING (-45.8717669 -23.1905958, -45.8718063 -23.1906886, -45.8718456 -23.1907813, -45.8719446 -23.1910147, -45.8721114 -23.1913847, -45.8721561 -23.1914838)",0.0028738271804038154,,,
1437650678,1437681462,0,973344609,True,,,Rua Ceci,secondary,,False,56.778,"LINESTRING (-45.8717669 -23.1905958, -45.8714205 -23.190931, -45.8713843 -23.190966)",0.002789002495622803,0.9999501554466336,,
1437650697,1437650677,0,130572199,False,,,Rua Jacinto,residential,,False,100.369,"LINESTRING (-45.8726433 -23.1909822, -45.8722871 -23.1902686, -45.8722671 -23.1902286, -45.8722338 -23.1901618)",0.002944580997303674,,,
1437650697,1437658996,0,130572199,False,,,Rua Jacinto,residential,,True,103.11500000000001,"LINESTRING (-45.8726433 -23.1909822, -45.8729357 -23.1916256, -45.8729625 -23.19176, -45.8729236 -23.1918463)",0.01782066984106899,0.999663666714189,,
