u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,name,junction,bridge
1446671028,1446671007,0,312071903,True,,secondary,60,False,104.46100000000001,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",0.06642702505603187,,Avenida dos Astronautas,,
1446671028,1454006732,0,312091236,True,,secondary_link,,False,34.324999999999996,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",0.022981843353492955,0.9988803681421159,,,
1446674016,1446748375,0,312071895,True,,unclassified,,False,48.37700000000001,"LINESTRING (-45.8558953 -23.2227214, -45.8558473 -23.2226931, -45.8558019 -23.2226446, -45.8557707 -23.2225877, -45.8557572 -23.2225252, -45.8557623 -23.2224616, -45.8557856 -23.2224016, -45.8558256 -23.2223495)",0.006637267275565148,0.999841709827663,,circular,
1446674017,8167146377,0,132121239,True,,tertiary,60,False,50.338,"LINESTRING (-45.8561454 -23.2227145, -45.8561609 -23.2228276, -45.8561946 -23.2230263, -45.8562257 -23.2231609)",0.005731761050909987,0.9990735714630615,Avenida Doutor Amin Simão,,
1446674017,2143249780,0,448352067,True,,unclassified,,False,11.127,"LINESTRING (-45.8561454 -23.2227145, -45.8560959 -23.2227353, -45.8560427 -23.222746)",0.02446920532026915,0.9997702736744554,,circular,
1446674018,1446674021,0,"[131451065, 312106034, 312065462, 312106031]",True,2,unclassified,60,False,442.577,"LINESTRING (-45.8606049 -23.2237976, -45.8610664 -23.2242429, -45.8613771 -23.2245271, -45.8614407 -23.2245852, -45.8616201 -23.2247494, -45.8614806 -23.2248836, -45.8612247 -23.2251297, -45.861084 -23.2252651, -45.86085 -23.2250292, -45.861303 -23.2245968, -45.8612582 -23.2245546, -45.8605319 -23.2238706)",0.0038236633981314832,0.9999414709998615,Rua Doutora Tânia Lis Tizzoni Nogueira,,
1446674018,1446674021,1,448343876,True,2,unclassified,60,False,11.807,"LINESTRING (-45.8606049 -23.2237976, -45.8605978 -23.2238233, -45.8605819 -23.2238455, -45.8605592 -23.2238619, -45.8605319 -23.2238706)",0.0038236633981314832,,Rua Doutora Tânia Lis Tizzoni Nogueira,roundabout,
1446674020,1446674018,0,448343876,True,2,unclassified,60,False,21.381999999999998,"LINESTRING (-45.8604587 -23.2237295, -45.8604816 -23.2237161, -45.8605079 -23.2237098, -45.8605351 -23.2237111, -45.8605591 -23.2237192, -45.8605795 -23.2237333, -45.8605947 -23.2237521, -45.8606035 -23.2237742, -45.8606049 -23.2237976)",0.0076435927499757285,,Rua Doutora Tânia Lis Tizzoni Nogueira,roundabout,
1446674021,1446674033,0,448343876,True,2,unclassified,60,False,13.242999999999999,"LINESTRING (-45.8605319 -23.2238706, -45.860506 -23.2238711, -45.860481 -23.2238648, -45.8604591 -23.223852, -45.8604422 -23.223834, -45.8604317 -23.2238122)",0.007651060842550204,0.9996894331382227,Rua Doutora Tânia Lis Tizzoni Nogueira,roundabout,
1446674033,1446674017,0,"[312065461, 312071887]",True,2,unclassified,60,False,460.035,"LINESTRING (-45.8604317 -23.2238122, -45.8567256 -23.2226719, -45.8566023 -23.2226433, -45.8565001 -23.2226387, -45.8561454 -23.2227145)",0.0076323906111140155,,Rua Doutora Tânia Lis Tizzoni Nogueira,,
1446674033,1446674020,0,"[132234536, 448343875]",True,2,unclassified,60,False,10.091999999999999,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",2.2404277723426658e-05,,Rua Doutora Tânia Lis Tizzoni Nogueira,roundabout,
1446674039,7808956271,0,312071892,True,,tertiary,60,False,133.724,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",0.029917178853349068,0.9994748601040071,Avenida Brigadeiro Faria Lima,,
1446748353,3178886355,0,132120724,True,,secondary,,False,28.939999999999998,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",0.03305613356869984,0.9999414709998615,Estrada Municipal Glaudistom P de Oliveira,,
1446748353,1446670988,0,312071903,True,,secondary,60,False,62.684,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",0.04210593067305618,,Avenida dos Astronautas,,
1446748354,1446748353,0,131460628,True,,secondary_link,60,False,47.318,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",0.05244910535858437,,,,
1446748354,3178886345,0,312071893,True,,tertiary,60,False,230.83599999999998,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",0.03725831385405853,0.9951554306959784,Avenida Brigadeiro Faria Lima,,
1446748371,1446748354,0,472739642,True,,secondary,60,False,32.785,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",0.08970368516635563,,Avenida dos Astronautas,,
1446748375,1446674039,0,312071891,True,,tertiary_link,,False,39.298,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",0.006547650164671441,,,,
1446748375,3178886311,0,877791480,True,,residential,,False,18.209,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",9.335115718094442e-05,0.9998257776451086,,circular,
1446748386,1446674020,0,312071889,True,2,unclassified,60,False,460.52500000000003,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",0.0076174544259650645,,Rua Doutora Tânia Lis Tizzoni Nogueira,,
1446748386,1446674017,0,448352067,True,,unclassified,,False,45.724,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",0.0019043636064912661,,,circular,
1453950122,1454899416,0,885743517,False,,residential,,False,48.334,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",0.0019417040693636438,0.9994408015243241,Rua Teodomiro Costa,,
1453950122,1453960044,0,132112940,False,,residential,,False,143.519,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",0.0023283023283023315,0.9996780904992366,Rua José Martins Xavier,,
1453950123,1454899412,0,132110340,False,,residential,,True,45.647,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",0.0014412974139417908,0.9998998736033342,Praça Benedito Ugolino da Silva Guerra,,
1453950123,1453957511,0,132112831,False,,residential,,True,69.515,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",0.002048888978980164,0.9999122064997923,Praça Benedito Ugolino Silva Guerra,,
1453950123,1453950300,0,885743516,False,,residential,,False,174.952,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",0.004180549317327433,0.9996357614902077,Rua Teodomiro Costa,,
1453950123,1454899416,0,448342045,True,,residential,,False,57.18,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",0.006039321996768859,0.9995870330926518,Rua Teodomiro Costa,,
1453950289,1453957511,0,132110338,False,,residential,,False,171.431,"LINESTRING (-45.8649731 -23.1943868, -45.8649342 -23.1959281)",0.0032845738012911266,0.9996406180363466,Rua Raul Franco Martins,,
1453950289,1454899412,0,132110340,False,,residential,,False,129.151,"LINESTRING (-45.8649731 -23.1943868, -45.8644229 -23.1954324)",0.0004908581656302021,0.9999071897283518,Praça Benedito Ugolino da Silva Guerra,,
1453950293,4453703042,0,132214755,False,,residential,,False,85.06,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",0.006544289523012927,0.9974510916014243,Rua Raul Franco Martins,,
1453950293,1453961350,0,132216058,False,,residential,,True,28.997,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",0.04216858472177621,0.9487909179179513,Rua Raul Franco Martins,,
1453950293,1453969481,0,132113592,False,,residential,,False,166.38,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",0.04955894689937243,0.991357640479853,Rua Avião Brasília,,
1453950300,1453958821,0,132112834,False,,residential,,False,59.782,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",0.013339720330601747,0.99839508063411,Rua Edésio José de Melo,,
1453950300,1453957515,0,132112834,False,,residential,,True,131.326,"LINESTRING (-45.8639127 -23.1973561, -45.8648213 -23.196521)",0.010672668879355808,0.9998691458782613,Rua Edésio José de Melo,,
1453950300,1453957518,0,132214760,False,,residential,,False,117.254,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",0.01074219326498962,0.9997408001422424,Rua Teodomiro Costa,,
1453950300,1453950123,0,885743516,False,,residential,,True,174.952,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",0.0062833152498805445,,Rua Teodomiro Costa,,
1453957511,1453957515,0,132110338,False,,residential,,False,66.93,"LINESTRING (-45.8649342 -23.1959281, -45.8648213 -23.196521)",0.007116932192920035,0.9992983334151239,Rua Raul Franco Martins,,
1453957511,1453950289,0,132110338,False,,residential,,True,171.431,"LINESTRING (-45.8649342 -23.1959281, -45.8649731 -23.1943868)",0.002337557428742839,,Rua Raul Franco Martins,,
1453957511,1453950123,0,132112831,False,,residential,,False,69.515,"LINESTRING (-45.8649342 -23.1959281, -45.864265 -23.1958164)",0.00310879801761258,,Praça Benedito Ugolino Silva Guerra,,
1453957515,1453957511,0,132110338,False,,residential,,True,66.93,"LINESTRING (-45.8648213 -23.196521, -45.8649342 -23.1959281)",0.007226090812717016,,Rua Raul Franco Martins,,
1453957515,1453950300,0,132112834,False,,residential,,False,131.326,"LINESTRING (-45.8648213 -23.196521, -45.8639127 -23.1973561)",0.010588964008416937,,Rua Edésio José de Melo,,
1453957515,1453961350,0,132216058,False,,residential,,False,244.888,"LINESTRING (-45.8648213 -23.196521, -45.8645638 -23.1976239, -45.8640501 -23.1985889)",0.019499883177694726,0.9989195192074124,Rua Raul Franco Martins,,
1453957518,1453958828,0,132113017,False,,residential,,False,97.276,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",0.008706586822088356,0.9981638794714472,Rua Brasílio Cursino,,
1453957518,1453961350,0,132113017,False,,residential,,True,71.578,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",0.02103395386070158,0.9984044889048667,Rua Brasílio Cursino,,
1453957518,1453950300,0,132214760,False,,residential,,True,117.254,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",0.010664462868110326,,Rua Teodomiro Costa,,
1453958821,1453950300,0,132112834,False,,residential,,True,59.782,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",0.015600187484685965,,Rua Edésio José de Melo,,
1453958821,1453960064,0,132112940,False,,residential,,True,23.356,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",0.009079831420256954,0.9981689597537171,Rua José Martins Xavier,,
1453958821,1453960082,0,132214757,False,,residential,,False,31.711,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",0.0026747862614124123,0.9995207241339829,Rua José Martins Xavier,,
1453958828,1453957518,0,132113017,False,,residential,,True,97.276,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",0.008728991099811768,,Rua Brasílio Cursino,,
1453958828,1453960087,0,132214757,False,,residential,,True,39.286,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",0.004992455448382512,0.9992531530504821,Rua José Martins Xavier,,
1453958828,1454889053,0,132214758,False,,residential,,False,156.253,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",0.0019155657453529794,0.9971869203521305,Rua das Cidreiras,,
1453960044,1453960056,0,132112940,False,,residential,,False,50.521,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",0.0038478102307889545,0.9996141963407524,Rua José Martins Xavier,,
