u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1453979257,1453979262,0,132114095,False,Rua Sagitário,residential,,False,233.161,"LINESTRING (-45.8572779 -23.2047751, -45.8552445 -23.2038243)",0.0004363182926069045,0.9998531013081902,,
1453979257,2024367591,0,819285517,False,Rua Fênix,residential,,True,63.356,"LINESTRING (-45.8572779 -23.2047751, -45.8575499 -23.2042631)",0.0009363199626274484,0.9997319071282682,,
1453979257,1453977330,0,819285517,False,Rua Fênix,residential,,False,62.677,"LINESTRING (-45.8572779 -23.2047751, -45.8570366 -23.2052215, -45.8570057 -23.2052802)",0.001964667171599542,,,
1453979262,1453979257,0,132114095,False,Rua Sagitário,residential,,True,233.161,"LINESTRING (-45.8552445 -23.2038243, -45.8572779 -23.2047751)",0.0005978659056437864,,,
1453979262,1453987128,0,448342050,False,Rua Centaurus,residential,,False,67.397,"LINESTRING (-45.8552445 -23.2038243, -45.8547653 -23.2042407)",0.003519468714099953,0.9994779495799347,,
1453979262,1453979243,0,448342050,False,Rua Centaurus,residential,,True,68.009,"LINESTRING (-45.8552445 -23.2038243, -45.8556683 -23.2034508, -45.8557231 -23.2033994)",0.0026161276068189677,,,
1453987112,1453977291,0,310701931,False,Rua Orion,residential,,False,70.179,"LINESTRING (-45.8587304 -23.2033421, -45.8583367 -23.202825)",0.010806728556075012,,,
1453987112,1453987117,0,310701931,False,Rua Orion,residential,,True,70.283,"LINESTRING (-45.8587304 -23.2033421, -45.8591431 -23.2038477)",0.011983771835389968,0.9989896386102199,,
1453987112,2024367592,0,132115198,False,Rua Lince,residential,,False,145.603,"LINESTRING (-45.8587304 -23.2033421, -45.8586994 -23.2033995, -45.8580922 -23.2045128)",0.010457451243580928,0.999492013066275,,
1453987113,2024367597,0,132115207,False,Rua Capricórnio,residential,,True,62.652,"LINESTRING (-45.8575443 -23.2055327, -45.8580931 -23.2057838)",0.011712657654317898,0.9993449417559995,,
1453987113,2024367592,0,132115198,False,Rua Lince,residential,,True,126.478,"LINESTRING (-45.8575443 -23.2055327, -45.857575 -23.2054758, -45.8580922 -23.2045128)",0.005873697095345785,0.9996690934978166,,
1453987113,1453977330,0,132115207,False,Rua Capricórnio,residential,,False,61.792,"LINESTRING (-45.8575443 -23.2055327, -45.8574799 -23.2055025, -45.8570057 -23.2052802)",0.002320732625937382,,,
1453987117,1453987112,0,310701931,False,Rua Orion,residential,,False,70.283,"LINESTRING (-45.8591431 -23.2038477, -45.8587304 -23.2033421)",0.010780315132279865,,,
1453987117,1453977246,0,310701931,False,Rua Orion,residential,,True,74.563,"LINESTRING (-45.8591431 -23.2038477, -45.8595671 -23.2043934)",0.012575831179636583,,,
1453987117,1453979249,0,132115201,False,Rua Lupus,residential,,False,114.296,"LINESTRING (-45.8591431 -23.2038477, -45.859109 -23.2039102, -45.858645 -23.204768)",0.007193297752358642,,,
1453987119,2024367597,0,132115201,False,Rua Lupus,residential,,True,62.394,"LINESTRING (-45.857816 -23.2062838, -45.8580931 -23.2057838)",0.027043991027933784,0.9970314497490794,,
1453987119,1454248242,0,132115237,False,Rua Netuno,residential,,False,169.82,"LINESTRING (-45.857816 -23.2062838, -45.8563362 -23.2055891)",0.020400354068496284,0.9983528339933758,,
1453987119,1453990682,0,132115237,False,Rua Netuno,residential,,True,30.5,"LINESTRING (-45.857816 -23.2062838, -45.8580812 -23.2064096)",0.09097629168206961,0.998466188469852,,
1453987128,1453990675,0,132115207,False,Rua Capricórnio,residential,,True,211.467,"LINESTRING (-45.8547653 -23.2042407, -45.8566103 -23.2051016)",0.005140376820289485,0.9992651456669922,,
1453987128,1453987185,0,448342050,False,Rua Centaurus,residential,,False,67.119,"LINESTRING (-45.8547653 -23.2042407, -45.8542826 -23.20465)",0.0006639781981896065,0.9994639614127565,,
