osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,highway,ref,geometry
2061113655,-23.2137145,-45.8559729,4,0.012307692307692308,0.055366041340515294,0.06742534947862136,0.9971289038273115,0.05526089672425661,,,POINT (-45.8559729 -23.2137145)
2061113656,-23.2137419,-45.8553726,4,0.012307692307692308,0.053933519437551695,0.00168042258463303,0.9993600895601631,0.033433770495451424,,,POINT (-45.8553726 -23.2137419)
2061117167,-23.1918591,-45.8704132,4,0.00923076923076923,0.031280127424341796,0.06559598593496899,0.9983775827978117,0.03894324116903604,traffic_signals,,POINT (-45.8704132 -23.1918591)
2061117199,-23.2111054,-45.8491996,4,0.012307692307692308,0.058885133943374794,0.06794095368211633,0.9975673648588317,0.0528611159387953,,,POINT (-45.8491996 -23.2111054)
2061127780,-23.2036987,-45.8531043,4,0.012307692307692308,0.041616945315655365,0.008420345718933853,0.9971124251102831,0.0430751587570565,,,POINT (-45.8531043 -23.2036987)
2061127781,-23.2048574,-45.8524548,4,0.012307692307692308,0.042447908455181184,0.004881169804158003,0.9997573765245825,0.05393031292635385,,,POINT (-45.8524548 -23.2048574)
2143249771,-23.2222912,-45.8561112,4,0.006153846153846154,0.04482473053023915,0.021809885030224015,0.9960104328214959,0.062168453453611106,,,POINT (-45.8561112 -23.2222912)
2143249780,-23.222746,-45.8560427,4,0.006153846153846154,0.04127979266923522,0.013606732250800047,0.9999534160267417,0.05993929550853682,,,POINT (-45.8560427 -23.222746)
2278776520,-23.1930824,-45.8698926,3,0.007692307692307693,0.027312060891845638,0.004559677610525069,1.0002738004410643,0.026504367164734064,,,POINT (-45.8698926 -23.1930824)
2278776524,-23.1929335,-45.8696996,3,0.00923076923076923,0.028075241183514753,0.020436964165777727,0.9986073744626387,0.029561981950153436,,,POINT (-45.8696996 -23.1929335)
3160449691,-23.2012844,-45.8629964,4,0.006153846153846154,0.038837615110072915,0.037903875785231717,0.9994643859668185,0.039803962142340145,traffic_signals,,POINT (-45.8629964 -23.2012844)
3160449692,-23.2012514,-45.8629228,4,0.006153846153846154,0.04027000033774167,0.06822787245283395,0.9987059060193343,0.055219793016043545,traffic_signals,,POINT (-45.8629228 -23.2012514)
3160449693,-23.2011882,-45.8628435,4,0.006153846153846154,0.044843515777370634,0.05035927537622454,0.9988113334933839,0.055017262502951275,traffic_signals,,POINT (-45.8628435 -23.2011882)
3160449694,-23.20071,-45.8635392,4,0.006153846153846154,0.040404318148811534,0.03792758089368259,0.9996347333077761,0.039625738679360964,traffic_signals,,POINT (-45.8635392 -23.20071)
3160449699,-23.2015212,-45.8625016,3,0.004615384615384615,0.04521618532182656,0.049489591387896464,0.9989261419579477,0.03868341937056358,,,POINT (-45.8625016 -23.2015212)
3160449701,-23.2011355,-45.8628001,3,0.004615384615384615,0.04465636887978127,0.005924353851934748,0.9994836737448104,0.03857479157098337,traffic_signals,,POINT (-45.8628001 -23.2011355)
3160449702,-23.2010268,-45.8629129,3,0.004615384615384615,0.04275318741323936,0.005900648743483871,0.9997794023217761,0.033843909661031644,,,POINT (-45.8629129 -23.2010268)
3160449707,-23.2006707,-45.8627757,3,0.006153846153846154,0.04311204776958201,0.019899826590119313,0.9994340466951537,0.035322652613167665,,,POINT (-45.8627757 -23.2006707)
3160449708,-23.2006359,-45.8634179,4,0.006153846153846154,0.043086008682948485,0.06705271615903358,0.9987070677473063,0.054924987639788175,traffic_signals,,POINT (-45.8634179 -23.2006359)
3160449709,-23.2006892,-45.8635071,4,0.006153846153846154,0.041940463508271186,0.07049645133158232,0.9992327677703607,0.055031109137698465,traffic_signals,,POINT (-45.8635071 -23.2006892)
3161589327,-23.2054477,-45.8606704,3,0.004615384615384615,0.05214201375656748,0.1581834309381241,0.9983955291949387,0.03520647864002578,,,POINT (-45.8606704 -23.2054477)
3161589328,-23.2053315,-45.8607453,3,0.004615384615384615,0.04955423088797587,0.1581597258296732,0.9970072025285382,0.033299892185302396,,,POINT (-45.8607453 -23.2053315)
3161589330,-23.2053982,-45.861035,3,0.004615384615384615,0.04852793767079481,0.1404793167848557,0.9882778944604601,0.03318881393519535,,,POINT (-45.861035 -23.2053982)
3161589339,-23.2056101,-45.86093,3,0.004615384615384615,0.04627871515783286,0.14045561167640483,0.9940408608233616,0.03276695271440559,,,POINT (-45.86093 -23.2056101)
3178886311,-23.2222758,-45.8559812,4,0.006153846153846154,0.039660527266161066,0.010622259096835368,0.99978372692486,0.058111246268368576,,,POINT (-45.8559812 -23.2222758)
3178886345,-23.2204448,-45.8551065,3,0.004615384615384615,0.04648310276459711,0.03116866184662795,0.9945004878834554,0.04369493529302793,,,POINT (-45.8551065 -23.2204448)
3178886355,-23.2186819,-45.8537872,3,0.004615384615384615,0.04475286598247702,0.04623895490985292,0.9989705328479312,0.03896402135969872,,,POINT (-45.8537872 -23.2186819)
3178886356,-23.2185834,-45.8535374,3,0.006153846153846154,0.04985050200983115,0.08977657938404866,0.9786648944365713,0.03714652836387945,,,POINT (-45.8535374 -23.2185834)
3178889265,-23.2140118,-45.85673,3,0.004615384615384615,0.05233754099491443,0.003441057583931823,0.9994256126156769,0.04271952720156728,,,POINT (-45.85673 -23.2140118)
3178889269,-23.2139815,-45.8570928,3,0.004615384615384615,0.0391621700246807,0.07014354281734048,0.9735331413567411,0.0364194585779492,,,POINT (-45.8570928 -23.2139815)
3178889276,-23.2186643,-45.8507251,3,0.004615384615384615,0.04916714775498663,0.04868006746960954,0.9927333738018245,0.031181533903708838,,,POINT (-45.8507251 -23.2186643)
3178889277,-23.2186967,-45.8507113,3,0.004615384615384615,0.0468665315267257,0.04865636236115865,0.9927709840914511,0.03109529218653112,,,POINT (-45.8507113 -23.2186967)
3178889278,-23.2186986,-45.8505144,3,0.004615384615384615,0.04961550350731185,0.04031778558680355,0.9993959937413001,0.03089895426582398,,,POINT (-45.8505144 -23.2186986)
3178889279,-23.2187417,-45.8505718,3,0.004615384615384615,0.05220136721559601,0.04034149069525442,0.9991684637699926,0.031056870312338912,,,POINT (-45.8505718 -23.2187417)
3178889289,-23.2185378,-45.8506307,3,0.004615384615384615,0.045835983107347426,0.04547579364965281,0.9978807642046071,0.031154599110688408,,,POINT (-45.8506307 -23.2185378)
3178889293,-23.2184375,-45.8503378,3,0.004615384615384615,0.04481534380738624,0.011519651779121353,0.9991162459029926,0.03086203003857273,,,POINT (-45.8503378 -23.2184375)
3178889295,-23.218475,-45.85036,3,0.004615384615384615,0.04289601225259673,0.011495946670670481,0.9988156360473754,0.0308672108791274,,,POINT (-45.85036 -23.218475)
3178889305,-23.2184308,-45.8502465,3,0.004615384615384615,0.04563074736209065,0.0054370186448135195,0.9996852553345837,0.030888272711453068,,,POINT (-45.8502465 -23.2184308)
