u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,width,access,junction,est_width
148497419,457052401,0,999084161,True,3,Praça Marechal Deodoro,primary,50,False,67.148,"LINESTRING (-46.6531074 -23.5350504, -46.6535217 -23.5348066, -46.6536617 -23.5347242)",,,,,,,
148497420,148497421,0,"[231243360, 935492765]",True,3,Praça Marechal Deodoro,primary,50,False,174.072,"LINESTRING (-46.6551838 -23.5338704, -46.6552966 -23.533807, -46.6565819 -23.5330842, -46.6566399 -23.5330528)",,,,,,,
148497420,260686438,0,231243365,True,,Rua Doutor Albuquerque Lins,residential,,False,114.983,"LINESTRING (-46.6551838 -23.5338704, -46.6551448 -23.5338213, -46.6546089 -23.5331459, -46.6545203 -23.5330342)",,,,,,,
148497421,4505383463,0,231327696,True,,Rua Lopes de Oliveira,residential,,False,23.143,"LINESTRING (-46.6566399 -23.5330528, -46.6567165 -23.5331404, -46.6567792 -23.5332171)",,,,,,,
148497421,457051436,0,231327697,True,3,Avenida General Olímpio da Silveira,primary,50,False,120.782,"LINESTRING (-46.6566399 -23.5330528, -46.656746 -23.5329947, -46.6572153 -23.5327376, -46.6574503 -23.5326088, -46.6575929 -23.5325307, -46.6576569 -23.5324956)",,,,,,,
148497422,2474967258,0,"[606419267, 15807923]",True,2,Rua Mário de Andrade,tertiary,40,False,183.42600000000002,"LINESTRING (-46.6586425 -23.5319703, -46.6587657 -23.5317917, -46.6591243 -23.5313016, -46.6592447 -23.5311478, -46.6593309 -23.5310412, -46.6596725 -23.5306185)",,,,,,,
148497422,457051394,0,38584382,True,2,Avenida General Olímpio da Silveira,primary,50,False,21.494,"LINESTRING (-46.6586425 -23.5319703, -46.6587402 -23.5319428, -46.6588132 -23.5319222, -46.6588444 -23.5319147)",,,,,,,
148497422,260686514,0,38584384,True,2,Rua Conselheiro Brotero,residential,,False,103.81,"LINESTRING (-46.6586425 -23.5319703, -46.6585889 -23.5318423, -46.6585211 -23.5316999, -46.6582737 -23.531202, -46.6582298 -23.5311171)",,,,,,,
148559014,1698661770,0,134466080,True,4,Avenida Marquês de São Vicente,primary,50,False,192.95800000000003,"LINESTRING (-46.6631288 -23.5221663, -46.6630929 -23.5221717, -46.6628825 -23.5222033, -46.6626198 -23.5222427, -46.6623244 -23.5222871, -46.6614364 -23.5224204, -46.6612611 -23.5224467)",,,,,,,
148559014,248817141,0,285520132,True,1,Rua Joaquim Manuel de Macedo,tertiary,40,False,102.02699999999999,"LINESTRING (-46.6631288 -23.5221663, -46.6631479 -23.5222715, -46.663276 -23.5229718, -46.6632881 -23.523072)",,,,,,,
148564371,1849075711,0,448209709,True,2,Rua Marquês de Itu,residential,,False,135.37099999999998,"LINESTRING (-46.6532573 -23.5436712, -46.6534772 -23.5436659, -46.654432 -23.5436428, -46.6544679 -23.5436419, -46.6545848 -23.5436391)",,,,,,,
148564371,148564768,0,448209710,True,2,Rua Sabará,tertiary,,False,38.114999999999995,"LINESTRING (-46.6532573 -23.5436712, -46.6533215 -23.5438076, -46.6534055 -23.5439859)",,,,,,,
148564382,158844840,0,424394652,True,2,Rua Dona Veridiana,tertiary,,False,112.154,"LINESTRING (-46.6515987 -23.5437162, -46.6515769 -23.543646, -46.6515219 -23.5434695, -46.6513177 -23.5428656, -46.6512788 -23.5427512)",,,,,,,
148564382,148564371,0,810899017,True,2,Rua Marquês de Itu,tertiary,40,False,169.15,"LINESTRING (-46.6515987 -23.5437162, -46.651762 -23.5437118, -46.6531584 -23.5436739, -46.6532573 -23.5436712)",,,,,,,
148564768,2098758068,0,448209710,True,2,Rua Sabará,tertiary,,False,91.733,"LINESTRING (-46.6534055 -23.5439859, -46.6534686 -23.5441198, -46.6536893 -23.5445883, -46.6537622 -23.5447433)",,,,,,,
148564768,148564776,0,542427434,True,2,Rua General Jardim,residential,,False,167.858,"LINESTRING (-46.6534055 -23.5439859, -46.6532191 -23.5440599, -46.6520604 -23.5445202, -46.652025 -23.5445343, -46.6519873 -23.5445471, -46.6519411 -23.5445566, -46.651888 -23.5445682)",,,,,,,
148564774,2441819524,0,424389513,True,,Rua Doutor Cesário Mota Júnior,residential,,False,97.39,"LINESTRING (-46.6489182 -23.544656, -46.6489175 -23.544431, -46.648896 -23.5438832, -46.6488913 -23.5437806)",,,,,,,
148564774,445798556,0,424394662,True,2,Rua General Jardim,residential,40,False,139.91100000000003,"LINESTRING (-46.6489182 -23.544656, -46.6489932 -23.5446543, -46.6490476 -23.5446528, -46.650184 -23.5446225, -46.6502901 -23.5446186)",,,,,,,
148564776,148564382,0,810899016,True,2,Rua Dona Veridiana,tertiary,,False,99.22899999999998,"LINESTRING (-46.651888 -23.5445682, -46.6518523 -23.5444712, -46.6516346 -23.5438316, -46.6515987 -23.5437162)",,,,,,,
148623754,4524492682,0,"[14406786, 943001486, 589515206]",True,"['3', '2']","['Rua Caio Prado', 'Rua Frei Caneca']",residential,40,False,256.86999999999995,"LINESTRING (-46.649261 -23.5518916, -46.6487714 -23.5517252, -46.6485292 -23.5516434, -46.6482812 -23.5515616, -46.6479902 -23.5514774, -46.6478406 -23.5514301, -46.6477876 -23.5513932, -46.6477568 -23.5513526, -46.6477479 -23.5513075, -46.647954 -23.5507838, -46.6480005 -23.5506658, -46.6480327 -23.5505809)",,,,,,,
148623754,140848390,0,936827829,False,,Rua Marquês de Paranaguá,residential,50,True,96.72200000000001,"LINESTRING (-46.649261 -23.5518916, -46.6494409 -23.5514286, -46.6495414 -23.5511638, -46.649574 -23.5510705)",,,,,,,
148632587,5541599625,0,"[15078594, 933888339]",True,1,,trunk_link,,False,183.16000000000003,"LINESTRING (-46.6484746 -23.5390114, -46.6484686 -23.5391132, -46.6484565 -23.5391931, -46.6484414 -23.5392632, -46.6484075 -23.5393587, -46.648345 -23.5395204, -46.648261 -23.5397009, -46.6482141 -23.5398075, -46.6481923 -23.5398711, -46.6481658 -23.539964, -46.6481551 -23.540011, -46.6481437 -23.5401333, -46.6481464 -23.5402477, -46.6481574 -23.5403276, -46.6481651 -23.5403639, -46.6481796 -23.5404032, -46.6482268 -23.5404828, -46.6482684 -23.5405323, -46.6483117 -23.5405627)",,yes,,,,,
