u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction,est_width
25928939,25928842,0,"[273593636, 273593637, 901220871, 901221674, 936396989]",True,"['3', '2']",trunk,"['50', '60']",False,339.35,"LINESTRING (-46.6385434 -23.549578, -46.6386985 -23.5493219, -46.6387637 -23.549184, -46.6388076 -23.54907, -46.6388477 -23.5489315, -46.638873 -23.5487078, -46.6388569 -23.5486128, -46.6388275 -23.5485325, -46.6387806 -23.5484489, -46.6386644 -23.5482688, -46.6378742 -23.5470938, -46.6377089 -23.5468886)",0.02766587257787836,"['Avenida Vinte e Três de Maio', 'Avenida 23 de Maio', 'Parque Anhangabau']",,,yes,,,,
25928939,285488804,0,"[8579499, 901230766]",True,1,trunk_link,,False,52.866,"LINESTRING (-46.6385434 -23.549578, -46.6386395 -23.5493645, -46.6386782 -23.5492313, -46.6387043 -23.5491274)",0.0017562035011740693,,,,,,,,
25928961,25928964,0,"[565528400, 153242233, 273593639]",True,3,trunk,60,False,140.54000000000002,"LINESTRING (-46.6387749 -23.5481572, -46.6388903 -23.5483767, -46.6389844 -23.5486096, -46.639006 -23.5487021, -46.639007 -23.548821, -46.6389736 -23.5489641, -46.6389063 -23.5491215, -46.6387877 -23.5493388)",0.03375493810467789,Parque Anhangabau,,,,,,,
25928961,60685472,0,936107422,True,2,primary,50,False,47.7,"LINESTRING (-46.6387749 -23.5481572, -46.6389115 -23.5482984, -46.6390938 -23.548471)",0.0365849238754672,Avenida Nove de Julho,,,,,,,
25928964,7284727152,0,"[901219749, 321139487]",True,3,trunk,60,False,73.601,"LINESTRING (-46.6387877 -23.5493388, -46.6386172 -23.5496305, -46.6384466 -23.5499222)",0.020180241193570345,Avenida Vinte e Três de Maio,,,,,,,
25928964,8377467363,0,"[901220297, 38508517]",True,"['1', '2']",tertiary,40,False,90.03699999999999,"LINESTRING (-46.6387877 -23.5493388, -46.6388421 -23.5495739, -46.6389264 -23.5500199, -46.6389592 -23.5501327)",0.013573637534309378,Praça da Bandeira,,,,,,,
25929039,176009843,0,997426060,True,3,trunk,60,False,83.426,"LINESTRING (-46.6371573 -23.5548213, -46.6373035 -23.5551914, -46.6374775 -23.5555104)",0.024560614721582823,Avenida Vinte e Três de Maio,,,,,,,
25929410,25929413,0,943943780,True,5,trunk,60,False,94.638,"LINESTRING (-46.6385024 -23.5579874, -46.6387297 -23.5586173, -46.6388079 -23.5587907)",0.04016288017465676,Avenida Vinte e Três de Maio,,,,,,,
25929413,60641204,0,172433904,True,2,secondary,40,False,130.755,"LINESTRING (-46.6388079 -23.5587907, -46.6391443 -23.5591749, -46.6395684 -23.5597368)",0.02093028760300608,Rua Maestro Cardim,,,,,,,
25929413,5496814869,0,524259147,True,5,trunk,60,False,193.659,"LINESTRING (-46.6388079 -23.5587907, -46.6390235 -23.5592353, -46.6391227 -23.5594074, -46.6392467 -23.5595917, -46.6393942 -23.559799, -46.6395668 -23.5600666, -46.6397175 -23.5603165)",0.01923153319485256,Avenida Vinte e Três de Maio,,,,,,,
25929414,587993,0,524487872,True,5,trunk,60,False,99.955,"LINESTRING (-46.6385968 -23.5590528, -46.6384853 -23.5587961, -46.6382561 -23.55821)",0.041895089421191585,Avenida Vinte e Três de Maio,,,,,,,
60624525,60685779,0,"[454576378, 211556988]",True,4,primary,50,False,124.206,"LINESTRING (-46.6490136 -23.5480122, -46.6486064 -23.5478778, -46.6478672 -23.5476337)",0.0202819875156453,Rua da Consolação,,,,,,,
60624525,81354742,0,459033870,True,3,tertiary,,False,17.546,"LINESTRING (-46.6490136 -23.5480122, -46.6490342 -23.547932, -46.649053 -23.5478586)",0.006120332722015172,Rua Caio Prado,,,,,,,
60634934,60634935,0,938162735,True,4,primary,50,False,102.073,"LINESTRING (-46.6255716 -23.5264274, -46.6256175 -23.5273444)",0.0006680076964430647,Avenida Cruzeiro do Sul,,,,,,,
60634934,452091610,0,38306000,False,,residential,,False,168.29000000000002,"LINESTRING (-46.6255716 -23.5264274, -46.6257235 -23.5264962, -46.6257893 -23.5265263, -46.6269717 -23.527066, -46.6270495 -23.5271015)",6.709386389183395e-07,Rua João Pacheco,,,,,,,
60634935,452091611,0,38306006,False,,residential,,False,122.069,"LINESTRING (-46.6256175 -23.5273444, -46.6257633 -23.52741, -46.6258336 -23.5274416, -46.6266098 -23.5277909, -46.6266924 -23.527828)",1.7303154372104546e-06,Rua Tapajós,,,,,,,
60634935,60734267,0,333520056,True,4,primary,50,False,126.108,"LINESTRING (-46.6256175 -23.5273444, -46.6256334 -23.5278543, -46.6256344 -23.5279328, -46.6256393 -23.5283007, -46.6256408 -23.528348, -46.6256445 -23.5284782)",0.004894673933709002,Avenida Cruzeiro do Sul,,,,,,,
60641012,3278570084,0,321139485,True,2,secondary,40,False,22.694000000000003,"LINESTRING (-46.6376599 -23.5523377, -46.6377037 -23.5524238, -46.6377596 -23.5525201)",0.008413101696688,Viaduto Brigadeiro Luís Antônio,,,,,,,
60641012,3278570087,0,425838713,True,,residential,40,False,73.68299999999999,"LINESTRING (-46.6376599 -23.5523377, -46.6377195 -23.5522345, -46.6377445 -23.5521924, -46.6377632 -23.5521617, -46.6377838 -23.5521175, -46.637924 -23.5517232)",0.0036031200283724763,Rua Asdrúbal Nascimento,,,,,,,
60641027,60641028,0,252274190,True,6,secondary,50,False,52.545,"LINESTRING (-46.6359282 -23.5520563, -46.6355857 -23.5519457, -46.635442 -23.5518993)",0.03584888279779876,Viaduto Dona Paulina,,,,,,,
60641028,60641088,0,46927934,True,2,secondary,40,False,53.358,"LINESTRING (-46.635442 -23.5518993, -46.6353811 -23.5514227)",0.013691318795726508,Praça Doutor João Mendes,,,,,,,
60641028,2323782354,0,8103465,True,1,primary,40,False,64.344,"LINESTRING (-46.635442 -23.5518993, -46.6352782 -23.5519118, -46.6351037 -23.5519899, -46.6348583 -23.5520989)",0.008660737579378429,Praça Doutor João Mendes,,,,,,,
60641028,60641030,0,46927935,True,5,secondary,50,False,53.03,"LINESTRING (-46.635442 -23.5518993, -46.6352117 -23.5518346, -46.6350471 -23.5517842, -46.634943 -23.5517667)",0.01641435476036387,Praça Doutor João Mendes,,,,,,,
60641030,60641031,0,46892577,True,6,primary,50,False,59.059,"LINESTRING (-46.634943 -23.5517667, -46.6344161 -23.5519876)",0.01676688198005859,Praça Doutor João Mendes,,,,,,,
60641030,2323782354,0,223479042,True,2,primary_link,40,False,43.997,"LINESTRING (-46.634943 -23.5517667, -46.6349763 -23.5518233, -46.6349915 -23.5518544, -46.6350039 -23.5518923, -46.6350082 -23.5519271, -46.6349985 -23.551956, -46.6349737 -23.5519873, -46.6348583 -23.5520989)",0.0031805180180037402,Praça Doutor João Mendes,,,,,,,
60641031,60685350,0,8103459,False,,living_street,20,True,99.535,"LINESTRING (-46.6344161 -23.5519876, -46.6340198 -23.5511695)",0.012376419419496762,Praça da Sé,,,,,,,
60641031,60641034,0,46892577,True,6,primary,50,False,18.229,"LINESTRING (-46.6344161 -23.5519876, -46.6343238 -23.5520286, -46.6342543 -23.5520574)",0.004752361817742954,Praça Doutor João Mendes,,,,,,,
60641034,60641038,0,46927933,True,6,primary,50,False,39.285000000000004,"LINESTRING (-46.6342543 -23.5520574, -46.6340074 -23.5521595, -46.633903 -23.5522027)",0.014175741087201444,Praça Doutor João Mendes,,,,,,,
60641038,60641364,0,46927933,True,6,primary,50,False,74.49,"LINESTRING (-46.633903 -23.5522027, -46.6337883 -23.5522503, -46.6336051 -23.5523233, -46.6332336 -23.5524714)",0.011973004751289167,Praça Doutor João Mendes,,,,,,,
60641038,3713156706,0,"[8103464, 425459298]",False,,living_street,,True,100.027,"LINESTRING (-46.633903 -23.5522027, -46.6338378 -23.5520607, -46.6335575 -23.5514966, -46.6335006 -23.5513823)",0.007245080757054569,Rua Onze de Agosto,,,,,,,
60641043,60641048,0,134365461,True,4,primary,50,False,92.043,"LINESTRING (-46.6329267 -23.5525309, -46.6328499 -23.5523708, -46.6326378 -23.551942, -46.6325771 -23.5518192, -46.6325558 -23.5517762)",0.008311364732175518,Rua Anita Garibaldi,,,,,,,
