u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,ref,bridge,tunnel,width,access,junction,est_width
1448778078,6632055973,0,39081849,False,,residential,,False,212.30300000000003,"LINESTRING (-46.6171769 -23.569512, -46.6170636 -23.5679599, -46.6171186 -23.5677674, -46.6171817 -23.5676239)",0.00031451958759819826,Rua Oliveira Lima,,,,,,,
1448778078,1448778106,0,131655868,True,,residential,,False,73.24900000000001,"LINESTRING (-46.6171769 -23.569512, -46.6172902 -23.5695821, -46.6174217 -23.5696669, -46.6175799 -23.5697588, -46.6176698 -23.5697941, -46.6177947 -23.5698437)",1.2394860595002887e-06,Praça Francisco Manuel,,,,,,,
1448778080,6707729721,0,942279390,False,1,residential,,True,8.335,"LINESTRING (-46.6219145 -23.5684985, -46.6218346 -23.5685145)",0.0003144162970932399,Rua Oswaldo de Luca,,,,,yes,,
1448778080,296284738,0,132236345,True,3,tertiary,,False,72.474,"LINESTRING (-46.6219145 -23.5684985, -46.6218721 -23.568294, -46.6217964 -23.5679293, -46.6217921 -23.5679086, -46.6217816 -23.5678582)",0.0042818964468503105,Avenida Lins de Vasconcelos,,,,,,,
1448778096,1563710538,0,966818779,False,2,residential,,True,34.708,"LINESTRING (-46.6225792 -23.5642183, -46.6225165 -23.5639115)",0.000433203733406455,Avenida Lacerda Franco,,,,,,,
1448778096,445044713,0,299532297,True,2,tertiary,,False,106.775,"LINESTRING (-46.6225792 -23.5642183, -46.6227711 -23.565145, -46.6227746 -23.5651617)",0.013165413520995673,Avenida Lacerda Franco,,,,,,,
1448778106,296285708,0,131655868,True,,residential,,False,52.684,"LINESTRING (-46.6177947 -23.5698437, -46.6178753 -23.5697453, -46.6179509 -23.5696695, -46.618066 -23.5695719, -46.6181441 -23.569496)",1.4460670694170035e-06,Praça Francisco Manuel,,,,,,,
1448778115,4293920652,0,131655875,True,2,tertiary,,False,111.12700000000001,"LINESTRING (-46.6210769 -23.5644784, -46.6211669 -23.5644633, -46.6221483 -23.5642931)",0.0007712745452833889,Rua Albuquerque Maranhão,,,,,,,
1448778115,1448778142,0,237587387,False,4,tertiary,,False,59.618,"LINESTRING (-46.6210769 -23.5644784, -46.621055 -23.5643748, -46.6209892 -23.5640629, -46.6209658 -23.563952)",9.274798741894106e-05,Avenida Lins de Vasconcelos,,,,,,,
1448778115,1448778134,0,237587390,True,2,tertiary,,False,135.644,"LINESTRING (-46.6210769 -23.5644784, -46.6209958 -23.564492, -46.6208086 -23.5645234, -46.6199014 -23.5646608, -46.6197631 -23.5646691)",0.003545314968061201,Rua Albuquerque Maranhão,,,,,,,
