osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
184038866,-23.5695077,-46.6507866,traffic_signals,3,0.0016849199663016008,0.0261297369052812,0.0016367901969259492,0.008695011751860498,,POINT (-46.6507866 -23.5695077)
246650344,-23.5290091,-46.6276017,,3,0.0008424599831508004,0.034196217871568665,0.005925617968420374,0.006576038308975393,,POINT (-46.6276017 -23.5290091)
246650419,-23.5285677,-46.6291721,,4,0.0016849199663016008,0.034851513749542234,0.0031407713996831283,0.008764032335948099,,POINT (-46.6291721 -23.5285677)
246650421,-23.5295322,-46.6291351,,4,0.0016849199663016008,0.03580648035907585,0.0052953260528499895,0.008928725483953695,,POINT (-46.6291351 -23.5295322)
246650422,-23.5316676,-46.6297194,,3,0.0016849199663016008,0.037004624472182945,0.0072580739799421425,0.006877082053702117,,POINT (-46.6297194 -23.5316676)
246650423,-23.5310813,-46.6319892,,3,0.0011232799775344005,0.037611606330843296,0.004013656504553022,0.007246887838750178,,POINT (-46.6319892 -23.5310813)
246650435,-23.5325817,-46.6262093,,4,0.0014040999719180005,0.03624315405551354,0.024536883202826053,0.010380713045970123,,POINT (-46.6262093 -23.5325817)
246650444,-23.5288901,-46.6313203,,3,0.0008424599831508004,0.035722280230996724,0.0023170742437909945,0.006919431995430847,,POINT (-46.6313203 -23.5288901)
246650461,-23.5301437,-46.6270166,,3,0.0008424599831508004,0.03398752732212722,0.00689677865438706,0.006309493712888187,,POINT (-46.6270166 -23.5301437)
246650787,-23.5583526,-46.6350542,traffic_signals,4,0.0014040999719180005,0.03322427721383781,0.00993782860496397,0.011030395423541233,,POINT (-46.6350542 -23.5583526)
246650791,-23.5580001,-46.6289366,traffic_signals,4,0.0011232799775344005,0.03542809062098175,0.0339107556277402,0.01007378897966073,A-257,POINT (-46.6289366 -23.5580001)
246650792,-23.5581463,-46.6313952,,4,0.001965739960685201,0.03528079345523598,0.007790099278489556,0.010279412718246277,,POINT (-46.6313952 -23.5581463)
246650793,-23.558181,-46.6319634,,4,0.0016849199663016008,0.03470259084568058,0.007930008912562932,0.011220502816214587,,POINT (-46.6319634 -23.558181)
246650794,-23.5582423,-46.632934,traffic_signals,4,0.002246559955068801,0.03426543192286601,0.011327279706809733,0.01237135649068014,,POINT (-46.632934 -23.5582423)
246650796,-23.558267,-46.6369952,traffic_signals,4,0.0011232799775344005,0.03417458143399237,0.008633953229814563,0.009908660812213246,,POINT (-46.6369952 -23.558267)
247949253,-23.552506,-46.6295661,traffic_signals,3,0.0008424599831508004,0.033406937511305385,0.010886644566001217,0.005926942227259408,,POINT (-46.6295661 -23.552506)
247949664,-23.5522025,-46.6273067,traffic_signals,3,0.0008424599831508004,0.035226009047340606,0.030826084422480245,0.0063696840422638535,,POINT (-46.6273067 -23.5522025)
247949665,-23.5521767,-46.6275619,traffic_signals,4,0.0011232799775344005,0.03491695823633771,0.020119895797311643,0.008094299406889032,,POINT (-46.6275619 -23.5521767)
247950279,-23.5547151,-46.6331632,,3,0.0014040999719180005,0.033058049312802915,0.005741518235450056,0.006898335030864375,,POINT (-46.6331632 -23.5547151)
247950321,-23.5546456,-46.6319897,,3,0.0014040999719180005,0.032538677223137545,0.0032907799681276603,0.006783125819001294,,POINT (-46.6319897 -23.5546456)
247950566,-23.5532248,-46.6300803,,1,0.0005616399887672002,0.0280084058865115,0.0,0.0017479784121728367,,POINT (-46.6300803 -23.5532248)
247950657,-23.5531104,-46.6284853,,3,0.0011232799775344005,0.032803737014268065,0.002134745020389808,0.007475348901519077,,POINT (-46.6284853 -23.5531104)
247950659,-23.5529726,-46.6275862,traffic_signals,4,0.0014040999719180005,0.032917022954912264,0.003170029222320155,0.008889329023113802,,POINT (-46.6275862 -23.5529726)
247951118,-23.5547628,-46.6285164,traffic_signals,3,0.0008424599831508004,0.032978913249184005,0.006043105570996216,0.0070698830810597075,,POINT (-46.6285164 -23.5547628)
247951203,-23.5513536,-46.6292119,,3,0.0008424599831508004,0.03266141872037986,0.0027005832323790573,0.005397658620400319,,POINT (-46.6292119 -23.5513536)
247951231,-23.5503437,-46.6291669,,3,0.0008424599831508004,0.03378438704901714,0.004985857028187678,0.005601631697480345,,POINT (-46.6291669 -23.5503437)
247951669,-23.5519164,-46.6292206,,3,0.0008424599831508004,0.031610702090760126,0.0018098135633361036,0.005780198482948747,,POINT (-46.6292206 -23.5519164)
247951670,-23.5517413,-46.627872,,3,0.0008424599831508004,0.03162127708100524,0.001688563538226789,0.0058278621926081105,,POINT (-46.627872 -23.5517413)
247951678,-23.5515837,-46.6295351,,3,0.0011232799775344005,0.03161804508338495,0.0008914007252101124,0.004519867612853047,,POINT (-46.6295351 -23.5515837)
247951684,-23.5509815,-46.6301683,,1,0.0005616399887672002,0.030627686701986054,0.0,0.0018055606417114475,,POINT (-46.6301683 -23.5509815)
248110355,-23.544213,-46.6314761,traffic_signals,3,0.0008424599831508004,0.037252145689025726,0.004182909218995926,0.007117368685416567,,POINT (-46.6314761 -23.544213)
248110869,-23.5433232,-46.6309644,,3,0.0008424599831508004,0.03842927764875213,0.00044868634567674147,0.0060625609339620135,,POINT (-46.6309644 -23.5433232)
248110870,-23.5417493,-46.6308378,traffic_signals,4,0.0011232799775344005,0.03572640581194019,0.016520356044871464,0.009820457839314381,,POINT (-46.6308378 -23.5417493)
248110871,-23.5403469,-46.6307213,traffic_signals,4,0.0011232799775344005,0.03707073871322179,0.017803097932738883,0.010646430674970793,,POINT (-46.6307213 -23.5403469)
248110872,-23.5399104,-46.6307225,traffic_signals,4,0.0011232799775344005,0.04018941109454528,0.025744701916933194,0.01037225943581921,,POINT (-46.6307225 -23.5399104)
248110873,-23.5442499,-46.6322,,3,0.0008424599831508004,0.03569230464524849,0.0031007180558475958,0.006632615286749939,,POINT (-46.6322 -23.5442499)
248110880,-23.5419091,-46.6317718,,3,0.0008424599831508004,0.03447790919463048,0.0002761659551508382,0.006954739681532212,,POINT (-46.6317718 -23.5419091)
248110882,-23.540582,-46.6321146,traffic_signals,4,0.0011232799775344005,0.0385293572920735,0.041466191533990795,0.010530448414744332,,POINT (-46.6321146 -23.540582)
248110883,-23.5419849,-46.6322158,,3,0.0008424599831508004,0.03710469367954873,0.0023263024222455837,0.007086720495750015,,POINT (-46.6322158 -23.5419849)
248110885,-23.5434447,-46.632482,,3,0.0008424599831508004,0.0345188302457349,0.0023600073210858887,0.005926183499791231,,POINT (-46.632482 -23.5434447)
248111063,-23.5435116,-46.6320653,,3,0.0008424599831508004,0.03335421729037498,0.0016814925965615065,0.005955903664962441,,POINT (-46.6320653 -23.5435116)
248111143,-23.543636,-46.6325178,,3,0.0008424599831508004,0.03597037260004286,0.002471344724163843,0.006425071925786795,,POINT (-46.6325178 -23.543636)
248111144,-23.5427179,-46.6323482,,3,0.0008424599831508004,0.03577072205832199,0.002359691793002313,0.006038259283886342,,POINT (-46.6323482 -23.5427179)
248111159,-23.5427867,-46.6319329,,3,0.0008424599831508004,0.033313726190124286,0.00026211463702589474,0.006020665596162556,,POINT (-46.6319329 -23.5427867)
248111223,-23.5418726,-46.6301058,,3,0.0008424599831508004,0.04093295218347012,0.009535989408043545,0.00852438141689175,,POINT (-46.6301058 -23.5418726)
248111409,-23.5393956,-46.6328941,traffic_signals,3,0.0008424599831508004,0.038740348467189475,0.0212493038240822,0.0072738028361987,,POINT (-46.6328941 -23.5393956)
248817131,-23.525788,-46.6606086,,3,0.0005616399887672002,0.02248548803054384,0.0,0.0035450047469206677,,POINT (-46.6606086 -23.525788)
248817177,-23.5245599,-46.6588926,,3,0.0014040999719180005,0.024120312795684985,0.005263409539363566,0.00726028061293351,,POINT (-46.6588926 -23.5245599)
248817178,-23.5257367,-46.6553689,,4,0.001965739960685201,0.024142902485838738,0.0046876432896858855,0.011126813245400923,,POINT (-46.6553689 -23.5257367)
248818235,-23.5258372,-46.660276,,3,0.0008424599831508004,0.022989543275776476,0.0008165472392870327,0.0050436268384128355,,POINT (-46.660276 -23.5258372)
260685848,-23.5291642,-46.6610223,traffic_signals,4,0.0011232799775344005,0.023950373726669725,0.009171858437291942,0.01140963606241356,,POINT (-46.6610223 -23.5291642)
260685879,-23.5292928,-46.6609124,traffic_signals,4,0.0011232799775344005,0.023459316019634854,0.008626381505376953,0.011820570358396978,,POINT (-46.6609124 -23.5292928)
260686274,-23.5264039,-46.6604062,,3,0.0008424599831508004,0.023912336689767996,0.0007573784877942467,0.007330543762683569,,POINT (-46.6604062 -23.5264039)
260686276,-23.5274299,-46.6587639,,3,0.0008424599831508004,0.024462604764590407,0.0016248558794657458,0.008168371976481134,,POINT (-46.6587639 -23.5274299)
260686277,-23.528454,-46.6576508,traffic_signals,4,0.0011232799775344005,0.024843013520749167,0.0025368544959502234,0.010613702515269762,,POINT (-46.6576508 -23.528454)
260686398,-23.5276822,-46.6608654,,3,0.0008424599831508004,0.024275696802979568,0.005163988427038999,0.008092648378724388,,POINT (-46.6608654 -23.5276822)
260686434,-23.5282983,-46.65971,,4,0.0014040999719180005,0.025054834169997604,0.0051026934092547604,0.010330324941108238,,POINT (-46.65971 -23.5282983)
260686435,-23.5293282,-46.658595,,4,0.0014040999719180005,0.025712537766087763,0.004603398290419691,0.01126294811682681,,POINT (-46.658595 -23.5293282)
260686436,-23.5303636,-46.6574547,traffic_signals,4,0.0011232799775344005,0.027054854325727535,0.007952654606764852,0.010262902087911146,,POINT (-46.6574547 -23.5303636)
260686438,-23.5330342,-46.6545203,traffic_signals,4,0.0011232799775344005,0.029312474678164262,0.00796336535434975,0.013612510053822822,,POINT (-46.6545203 -23.5330342)
