osmid,y,x,highway,street_count,dc,cc,nbc,vul,com,eff,ref,geometry
3417535660,-23.2265629,-45.8847807,,3,0.0021156558533145277,0.03366518137209151,0.0018894468159196018,0.00011024905584339586,0.01616257811130155,0.06252173094359648,,POINT (-45.8847807 -23.2265629)
3432021544,-23.2329772,-45.8826567,turning_circle,1,0.0014104372355430183,0.0323296126729621,0.0,-0.00034253597973849973,0.004177018278794279,0.06252173094359648,,POINT (-45.8826567 -23.2329772)
3432021545,-23.2330034,-45.8823262,turning_circle,1,0.0014104372355430183,0.03278642712250977,0.0,-0.0002620061388565665,0.004322463277081421,0.06252173094359648,,POINT (-45.8823262 -23.2330034)
3432021546,-23.2323977,-45.882616,turning_circle,1,0.0014104372355430183,0.03132204920407403,0.0,-0.0003432174688388024,0.004173733983278294,0.06252173094359648,,POINT (-45.882616 -23.2323977)
3432021547,-23.2318357,-45.8825926,turning_circle,1,0.0014104372355430183,0.03037538976254077,0.0,-0.0003132325794462514,0.004177034684678533,0.06252173094359648,,POINT (-45.8825926 -23.2318357)
3432021548,-23.2318514,-45.8822431,turning_circle,1,0.0014104372355430183,0.03420745418183263,0.0,-0.00024229561249846767,0.004412860189032847,0.06252173094359648,,POINT (-45.8822431 -23.2318514)
3432021549,-23.2312598,-45.8825285,turning_circle,1,0.0014104372355430183,0.02948427416740597,0.0,-0.0002703395179498868,0.00420218783611455,0.06252173094359648,,POINT (-45.8825285 -23.2312598)
3432021550,-23.2312758,-45.8822416,turning_circle,1,0.0014104372355430183,0.03543689377782662,0.0,-0.00020613017593057665,0.0046990699471238665,0.06252173094359648,,POINT (-45.8822416 -23.2312758)
3432021551,-23.2306737,-45.8825068,turning_circle,1,0.0014104372355430183,0.02864395331218907,0.0,-0.00021631267146285436,0.004346471431275282,0.06252173094359648,,POINT (-45.8825068 -23.2306737)
3432021552,-23.2306951,-45.8821931,turning_circle,1,0.0014104372355430183,0.03675800182258446,0.0,-0.00014789246007969513,0.006398178759018775,0.06252173094359648,,POINT (-45.8821931 -23.2306951)
3432021553,-23.2300857,-45.8824431,turning_circle,1,0.0014104372355430183,0.03301930686799173,0.0,-0.00016922628441226975,0.004871609428955804,0.06252173094359648,,POINT (-45.8824431 -23.2300857)
3432021554,-23.2301012,-45.8821542,turning_circle,1,0.0014104372355430183,0.03790433979867055,0.0,-0.00013776535520811984,0.005397631989110215,0.06252173094359648,,POINT (-45.8821542 -23.2301012)
3432021559,-23.235583,-45.879649,,1,0.0014104372355430183,0.03895547955637716,0.0,-0.0001927429803010562,0.004494432269353899,0.06252173094359648,,POINT (-45.879649 -23.235583)
3460268064,-23.2221126,-45.899398,,3,0.0028208744710860366,0.042312345033772895,0.01639295347457468,0.00042903192748830265,0.015896415936321726,0.06252173094359648,,POINT (-45.899398 -23.2221126)
3460268065,-23.2219216,-45.899397,,3,0.0028208744710860366,0.04056884039810326,0.013285230121013016,0.00018363598721604668,0.014680879003404658,0.06252173094359648,,POINT (-45.899397 -23.2219216)
3468694418,-23.2130085,-45.891093,,3,0.0021156558533145277,0.04650445127280942,0.025944800791267878,0.0007581692400776627,0.014185701254270914,0.06252173094359648,,POINT (-45.891093 -23.2130085)
3468694420,-23.2132805,-45.8907849,,3,0.0021156558533145277,0.04440108914808656,0.025946293844093082,0.0011242614898394013,0.014364461027313402,0.06252173094359648,,POINT (-45.8907849 -23.2132805)
3468694455,-23.2221315,-45.8802052,,1,0.0014104372355430183,0.02774908683230263,0.0,-0.0004376832385975082,0.004201761359638859,0.06252173094359648,,POINT (-45.8802052 -23.2221315)
3468694456,-23.2224471,-45.8798584,,1,0.0014104372355430183,0.02768774782174369,0.0,-0.00043599644911077544,0.0041769837100331525,0.06252173094359648,,POINT (-45.8798584 -23.2224471)
3468694463,-23.2236124,-45.8786871,,1,0.0014104372355430183,0.02811238535068066,0.0,-0.00041818769890893803,0.004173697969249143,0.06252173094359648,,POINT (-45.8786871 -23.2236124)
3468699422,-23.2089455,-45.8965383,,3,0.0021156558533145277,0.02805874021145676,0.00312695490844065,0.001974110197250848,0.014017842002103641,0.06252173094359648,,POINT (-45.8965383 -23.2089455)
3468699428,-23.2089802,-45.8984005,,3,0.0035260930888575456,0.04021666566800705,0.03847708726450601,0.004630102345480219,0.014134354289363412,0.06252173094359648,,POINT (-45.8984005 -23.2089802)
3468699432,-23.2091115,-45.8981792,,3,0.0028208744710860366,0.04139310250833063,0.03878110139048162,0.00029571962590182067,0.014172661111470154,0.06252173094359648,,POINT (-45.8981792 -23.2091115)
